month,opening_drawn,interest_expense,unused_line_fee,cash_flow,revolver_drawn,excess_availability,funding_gap,covenant_breached,eligible_ar,dilution_reserve,ar_advance,eligible_inventory,inventory_advance,borrowing_base,facility_commitment,capped_by_facility,version_name,scenario_name
2028-01-01,46683838,291774,63882,-53253318,99937156,33449230,0,False,918225.274287,1836451,76488165,1137964.42016,56898221,133386386,2000000.0,False,Budget,Balanced Base
2028-02-01,99937156,624607,41693,-25701575,125638731,12263522,0,True,918225.274287,1836451,76488165,1228281.760151,61414088,137902253,2000000.0,False,Budget,Balanced Base
2028-03-01,125638731,785242,30984,-23815648,142418120,0,7036259,True,918225.274287,1836451,76488165,1318599.100143,65929955,142418120,2000000.0,False,Budget,Balanced Base
2028-04-01,142418120,890113,23992,-18620965,145127641,0,15911444,True,918225.274287,1836451,76488165,1372789.504138,68639475,145127641,2000000.0,False,Budget,Balanced Base
2028-05-01,145127641,907048,22863,-24498052,148740334,0,20885358,True,918225.274287,1836451,76488165,1445043.376131,72252169,148740334,2000000.0,False,Budget,Balanced Base
2028-06-01,148740334,929627,21358,-20260082,151449854,0,17550562,True,918225.274287,1836451,76488165,1499233.780125,74961689,151449854,2000000.0,False,Budget,Balanced Base
2028-07-01,151449854,946562,20229,37759007,113690847,37759007,0,False,918225.274287,1836451,76488165,1499233.780125,74961689,151449854,2000000.0,False,Budget,Balanced Base
2028-08-01,113690847,710568,35962,-44750539,148740334,0,9701052,True,918225.274287,1836451,76488165,1445043.376131,72252169,148740334,2000000.0,False,Budget,Balanced Base
2028-09-01,148740334,929627,21358,18970533,129769802,12648319,0,True,918225.274287,1836451,76488165,1318599.100143,65929955,142418120,2000000.0,False,Budget,Balanced Base
2028-10-01,129769802,811061,29263,17072615,112697186,23398720,0,True,918225.274287,1836451,76488165,1192154.824155,59607741,136095907,2000000.0,False,Budget,Balanced Base
2028-11-01,112697186,704357,36376,29453541,83243645,43820527,0,False,918225.274287,1836451,76488165,1011520.144172,50576007,127064173,2000000.0,False,Budget,Balanced Base
2028-12-01,83243645,520273,48648,1106574,82137072,44023927,0,False,918225.274287,1836451,76488165,993456.676174,49672834,126160999,2000000.0,False,Budget,Balanced Base
2026-01-01,0,0,83333,-13970387,0,165955747,0,False,791785.680758,1583571,65955747,2198240.25104,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-02-01,0,0,83333,-25133553,0,165955747,0,False,791785.680758,1583571,65955747,2279128.73112,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-03-01,0,0,83333,-23620311,0,165955747,0,False,791785.680758,1583571,65955747,2360017.2112,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-04-01,0,0,83333,-18668155,0,165955747,0,False,791785.680758,1583571,65955747,2408550.299248,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-05-01,0,0,83333,-23539475,0,165955747,0,False,791785.680758,1583571,65955747,2473261.083312,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-06-01,0,0,83333,-19925520,0,165955747,0,False,791785.680758,1583571,65955747,2521794.17136,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-07-01,0,0,83333,19200964,0,165955747,0,False,791785.680758,1583571,65955747,2521794.17136,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-08-01,0,0,83333,-29956323,0,165955747,0,False,791785.680758,1583571,65955747,2473261.083312,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-09-01,0,0,83333,14098206,0,165955747,0,False,791785.680758,1583571,65955747,2360017.2112,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-10-01,0,0,83333,12567762,0,165955747,0,False,791785.680758,1583571,65955747,2246773.339088,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-11-01,0,0,83333,22893772,0,165955747,0,False,791785.680758,1583571,65955747,2084996.378928,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2026-12-01,0,0,83333,-1871507,0,165955747,0,False,791785.680758,1583571,65955747,2068818.682912,100000000,165955747,2000000.0,False,Prior Forecast,Balanced Base
2027-01-01,0,0,83333,-55096719,0,171822968,0,False,862220.502676,1724441,71822968,2291506.381785,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-02-01,0,0,83333,-25049558,0,171822968,0,False,862220.502676,1724441,71822968,2377303.605588,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-03-01,0,0,83333,-23321998,0,171822968,0,False,862220.502676,1724441,71822968,2463100.829392,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-04-01,0,0,83333,-18156715,0,171822968,0,False,862220.502676,1724441,71822968,2514579.163674,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-05-01,0,0,83333,-23485647,0,171822968,0,False,862220.502676,1724441,71822968,2583216.942717,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-06-01,0,0,83333,-19574098,0,171822968,0,False,862220.502676,1724441,71822968,2634695.276999,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-07-01,0,0,83333,26233501,0,171822968,0,False,862220.502676,1724441,71822968,2634695.276999,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-08-01,0,0,83333,-34171665,0,171822968,0,False,862220.502676,1724441,71822968,2583216.942717,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-09-01,0,0,83333,17005786,0,171822968,0,False,862220.502676,1724441,71822968,2463100.829392,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-10-01,0,0,83333,15264678,0,171822968,0,False,862220.502676,1724441,71822968,2342984.716067,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-11-01,0,0,83333,26475765,0,171822968,0,False,862220.502676,1724441,71822968,2171390.26846,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2027-12-01,0,0,83333,-91431,0,171822968,0,False,862220.502676,1724441,71822968,2154230.8237,100000000,171822968,2000000.0,False,Prior Forecast,Balanced Base
2028-01-01,0,0,83333,-52677359,0,176486927,0,False,918210.403031,1836421,76486927,2377388.589356,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-02-01,0,0,83333,-24882135,15485623,161001303,0,False,918210.403031,1836421,76486927,2467705.929347,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-03-01,15485623,96785,76881,-23024824,38510448,137976479,0,False,918210.403031,1836421,76486927,2558023.269338,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-04-01,38510448,240690,67287,-17818290,56328737,120158189,0,False,918210.403031,1836421,76486927,2612213.673333,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-05-01,56328737,352055,59863,-23705825,80034563,96452364,0,False,918210.403031,1836421,76486927,2684467.545326,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-06-01,80034563,500216,49986,-19643872,99678434,76808492,0,False,918210.403031,1836421,76486927,2738657.949321,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-07-01,99678434,622990,41801,32205277,67473157,109013769,0,False,918210.403031,1836421,76486927,2738657.949321,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-08-01,67473157,421707,55220,-38299275,105772432,70714494,0,False,918210.403031,1836421,76486927,2684467.545326,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-09-01,105772432,661078,39261,19243473,86528959,89957967,0,False,918210.403031,1836421,76486927,2558023.269338,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-10-01,86528959,540806,47280,17395431,69133528,107353398,0,False,918210.403031,1836421,76486927,2431578.99335,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-11-01,69133528,432085,54528,29564650,39568878,136918049,0,False,918210.403031,1836421,76486927,2250944.313368,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2028-12-01,39568878,247305,66846,1442984,38125894,138361033,0,False,918210.403031,1836421,76486927,2232880.845369,100000000,176486927,2000000.0,False,Prior Forecast,Balanced Base
2026-01-01,0,0,83333,-13429635,0,170715257,0,False,848922.648758,1697845,70715257,2167915.933777,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-02-01,0,0,83333,-26059654,0,170715257,0,False,848922.648758,1697845,70715257,2261188.379033,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-03-01,0,0,83333,-24550841,0,170715257,0,False,848922.648758,1697845,70715257,2354460.824289,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-04-01,0,0,83333,-19108990,0,170715257,0,False,848922.648758,1697845,70715257,2410424.291442,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-05-01,0,0,83333,-24696212,0,170715257,0,False,848922.648758,1697845,70715257,2485042.247647,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-06-01,0,0,83333,-20664401,0,170715257,0,False,848922.648758,1697845,70715257,2541005.7148,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-07-01,0,0,83333,22710435,0,170715257,0,False,848922.648758,1697845,70715257,2541005.7148,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-08-01,0,0,83333,-29969821,0,170715257,0,False,848922.648758,1697845,70715257,2485042.247647,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-09-01,0,0,83333,18719633,0,170715257,0,False,848922.648758,1697845,70715257,2354460.824289,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-10-01,0,0,83333,16884104,0,170715257,0,False,848922.648758,1697845,70715257,2223879.40093,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-11-01,0,0,83333,27688207,0,170715257,0,False,848922.648758,1697845,70715257,2037334.510419,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2026-12-01,0,0,83333,-1537024,0,170715257,0,False,848922.648758,1697845,70715257,2018680.021368,100000000,170715257,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-01-01,0,0,83333,-109888886,0,192964398,0,False,1116019.188199,2232038,92964398,2438215.395008,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-02-01,0,0,83333,-27743946,0,192964398,0,False,1116019.188199,2232038,92964398,2545714.127697,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-03-01,0,0,83333,-26111720,0,192964398,0,False,1116019.188199,2232038,92964398,2653212.860386,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-04-01,0,0,83333,-20170269,0,192964398,0,False,1116019.188199,2232038,92964398,2717712.1,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-05-01,0,0,83333,-26802428,20764950,172199449,0,False,1116019.188199,2232038,92964398,2803711.086151,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-06-01,20764950,129781,74681,-22337733,43102683,149861716,0,False,1116019.188199,2232038,92964398,2868210.325765,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-07-01,43102683,269392,65374,40605318,2497365,190467034,0,False,1116019.188199,2232038,92964398,2868210.325765,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-08-01,2497365,15609,82293,-44977860,47475225,145489174,0,False,1116019.188199,2232038,92964398,2803711.086151,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-09-01,47475225,296720,63552,23790377,23684847,169279551,0,False,1116019.188199,2232038,92964398,2653212.860386,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-10-01,23684847,148030,73465,21575131,2109716,190854682,0,False,1116019.188199,2232038,92964398,2502714.634622,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-11-01,2109716,13186,82454,33118915,0,192964398,0,False,1116019.188199,2232038,92964398,2287717.169243,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2027-12-01,0,0,83333,-1217397,0,192964398,0,False,1116019.188199,2232038,92964398,2266217.422706,100000000,192964398,2000000.0,False,Prior Forecast,Wholesale Acceleration
2028-01-01,0,0,83333,-113355830,83564028,116435972,0,False,1388922.554704,2777845,115697249,2705533.704678,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-02-01,83564028,522275,48515,-29348932,112912960,87087040,0,False,1388922.554704,2777845,115697249,2827101.822086,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-03-01,112912960,705706,36286,-27794704,140707663,59292337,0,False,1388922.554704,2777845,115697249,2948669.939495,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-04-01,140707663,879423,24705,-21518388,162226052,37773948,0,False,1388922.554704,2777845,115697249,3021610.80994,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-05-01,162226052,1013913,15739,-29297402,191523453,8476547,0,True,1388922.554704,2777845,115697249,3118865.303867,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-06-01,191523453,1197022,3532,-24353854,200000000,0,15877307,True,1388922.554704,2777845,115697249,3191806.174312,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-07-01,200000000,1250000,0,58177787,141822213,58177787,0,False,1388922.554704,2777845,115697249,3191806.174312,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-08-01,141822213,886389,24241,-60111304,200000000,0,1933516,True,1388922.554704,2777845,115697249,3118865.303867,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-09-01,200000000,1250000,0,28694635,171305365,28694635,0,False,1388922.554704,2777845,115697249,2948669.939495,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-10-01,171305365,1070659,11956,25997731,145307634,54692366,0,False,1388922.554704,2777845,115697249,2778474.575123,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-11-01,145307634,908173,22788,38034818,107272816,92727184,0,False,1388922.554704,2777845,115697249,2535338.340306,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2028-12-01,107272816,670455,38636,-1089248,108362064,91637936,0,False,1388922.554704,2777845,115697249,2511024.716824,100000000,200000000,2000000.0,True,Prior Forecast,Wholesale Acceleration
2026-01-01,0,0,83333,-12443556,0,161486244,0,False,738130.176758,1476260,61486244,2238847.139488,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-02-01,0,0,83333,-21137107,0,161486244,0,False,738130.176758,1476260,61486244,2302746.965082,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-03-01,0,0,83333,-19407047,0,161486244,0,False,738130.176758,1476260,61486244,2366646.790677,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-04-01,0,0,83333,-15457810,0,161486244,0,False,738130.176758,1476260,61486244,2404986.686034,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-05-01,0,0,83333,-19669196,0,161486244,0,False,738130.176758,1476260,61486244,2456106.546509,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-06-01,0,0,83333,-16480051,0,161486244,0,False,738130.176758,1476260,61486244,2494446.441866,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-07-01,0,0,83333,16843756,0,161486244,0,False,738130.176758,1476260,61486244,2494446.441866,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-08-01,0,0,83333,-26702678,0,161486244,0,False,738130.176758,1476260,61486244,2456106.546509,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-09-01,0,0,83333,11182065,0,161486244,0,False,738130.176758,1476260,61486244,2366646.790677,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-10-01,0,0,83333,9810310,0,161486244,0,False,738130.176758,1476260,61486244,2277187.034845,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-11-01,0,0,83333,19928582,0,161486244,0,False,738130.176758,1476260,61486244,2149387.383656,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-12-01,0,0,83333,13245,0,161486244,0,False,738130.176758,1476260,61486244,2136607.418537,100000000,161486244,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-01-01,0,0,83333,-68012,0,157463617,0,False,689839.34147,1379679,57463617,2135608.516673,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-02-01,0,0,83333,-16825967,0,157463617,0,False,689839.34147,1379679,57463617,2194074.73054,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-03-01,0,0,83333,-14718990,0,157463617,0,False,689839.34147,1379679,57463617,2252540.944407,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-04-01,0,0,83333,-11073976,0,157463617,0,False,689839.34147,1379679,57463617,2287620.672728,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-05-01,0,0,83333,-15244668,0,157463617,0,False,689839.34147,1379679,57463617,2334393.643822,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-06-01,0,0,83333,-11994786,0,157463617,0,False,689839.34147,1379679,57463617,2369473.372142,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-07-01,0,0,83333,13619073,0,157463617,0,False,689839.34147,1379679,57463617,2369473.372142,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-08-01,0,0,83333,-16494648,0,157463617,0,False,689839.34147,1379679,57463617,2334393.643822,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-09-01,0,0,83333,13920944,0,157463617,0,False,689839.34147,1379679,57463617,2252540.944407,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-10-01,0,0,83333,12540530,0,157463617,0,False,689839.34147,1379679,57463617,2170688.244993,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-11-01,0,0,83333,23839553,0,157463617,0,False,689839.34147,1379679,57463617,2053755.817258,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2027-12-01,0,0,83333,5132893,0,157463617,0,False,689839.34147,1379679,57463617,2042062.574485,100000000,157463617,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-01-01,0,0,83333,-8229447,0,155647565,0,False,668037.991494,1336076,55647565,2089527.647198,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-02-01,0,0,83333,-13881813,0,155647565,0,False,668037.991494,1336076,55647565,2145568.552146,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-03-01,0,0,83333,-11425829,0,155647565,0,False,668037.991494,1336076,55647565,2201609.457093,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-04-01,0,0,83333,-7909104,0,155647565,0,False,668037.991494,1336076,55647565,2235234.000062,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-05-01,0,0,83333,-12153521,0,155647565,0,False,668037.991494,1336076,55647565,2280066.72402,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-06-01,0,0,83333,-8759930,0,155647565,0,False,668037.991494,1336076,55647565,2313691.266989,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-07-01,0,0,83333,13271262,0,155647565,0,False,668037.991494,1336076,55647565,2313691.266989,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-08-01,0,0,83333,-10634001,0,155647565,0,False,668037.991494,1336076,55647565,2280066.72402,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-09-01,0,0,83333,16510652,0,155647565,0,False,668037.991494,1336076,55647565,2201609.457093,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-10-01,0,0,83333,15098653,0,155647565,0,False,668037.991494,1336076,55647565,2123152.190167,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-11-01,0,0,83333,27681955,0,155647565,0,False,668037.991494,1336076,55647565,2011070.380271,100000000,155647565,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2028-12-01,0,0,83333,9278685,0,155640675,0,False,668037.991494,1336076,55647565,1999862.199282,99993110,155640675,2000000.0,False,Prior Forecast,Consolidation / Path to Breakeven
2026-01-01,0,0,83333,-14222196,0,163175102,0,False,758404.584758,1516809,63175102,2219386.006617,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
2026-02-01,0,0,83333,-24559225,0,163175102,0,False,758404.584758,1516809,63175102,2293596.713193,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
2026-03-01,0,0,83333,-22961329,0,163175102,0,False,758404.584758,1516809,63175102,2367807.419768,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
2026-04-01,0,0,83333,-18310744,0,163175102,0,False,758404.584758,1516809,63175102,2412333.843713,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
2026-05-01,0,0,83333,-22853651,0,163175102,0,False,758404.584758,1516809,63175102,2471702.408974,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
2026-06-01,0,0,83333,-19409441,0,163175102,0,False,758404.584758,1516809,63175102,2516228.832919,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
2026-07-01,0,0,83333,17372686,0,163175102,0,False,758404.584758,1516809,63175102,2516228.832919,100000000,163175102,2000000.0,False,Prior Forecast,DTC Recovery / Margin
