return_id,source,source_id,source_line,customer_key,account_key,product_key,sale_date,quantity,refund_amount,lag_days,recovery_rate,return_initiation_date,return_receipt_date,refund_date,recoverable_quantity,non_sellable_quantity,return_reason
17,DTC,146,1,90,0,2,2023-01-01,1,5746,24,0.8,2023-01-15,2023-01-25,2023-01-27,1,0,Damaged in transit
18,DTC,154,2,94,0,17,2023-01-01,2,10941,12,0.8,2023-01-08,2023-01-13,2023-01-15,2,0,Damaged in transit
19,DTC,157,1,96,0,4,2023-01-01,2,8935,21,0.8,2023-01-14,2023-01-22,2023-01-24,2,0,Fit / size
20,DTC,165,2,101,0,6,2023-01-01,1,4322,25,0.8,2023-01-16,2023-01-26,2023-01-28,1,0,Defect
21,DTC,170,1,105,0,47,2023-01-01,2,9488,19,0.8,2023-01-12,2023-01-20,2023-01-22,2,0,Defect
22,DTC,176,3,51560,0,48,2023-01-02,1,6373,7,0.8,2023-01-06,2023-01-09,2023-01-11,1,0,Fit / size
23,DTC,190,1,118,0,9,2023-01-02,1,5975,21,0.8,2023-01-15,2023-01-23,2023-01-25,1,0,Damaged in transit
24,DTC,202,2,126,0,8,2023-01-02,1,5223,10,0.8,2023-01-08,2023-01-12,2023-01-14,1,0,Changed mind
25,DTC,203,3,36751,0,33,2023-01-02,1,2230,23,0.8,2023-01-16,2023-01-25,2023-01-27,1,0,Not as expected
26,DTC,238,1,153,0,11,2023-01-02,2,10228,29,0.8,2023-01-19,2023-01-31,2023-02-02,2,0,Not as expected
27,DTC,246,1,157,0,55,2023-01-02,2,11336,29,0.8,2023-01-19,2023-01-31,2023-02-02,2,0,Defect
28,DTC,246,2,157,0,2,2023-01-02,1,5746,16,0.8,2023-01-12,2023-01-18,2023-01-20,1,0,Damaged in transit
29,DTC,254,1,12691,0,4,2023-01-02,1,4467,29,0.8,2023-01-19,2023-01-31,2023-02-02,1,0,Defect
30,DTC,280,1,181,0,21,2023-01-02,1,1805,23,0.8,2023-01-16,2023-01-25,2023-01-27,1,0,Fit / size
31,DTC,285,1,186,0,27,2023-01-02,1,1686,18,0.8,2023-01-13,2023-01-20,2023-01-22,1,0,Damaged in transit
32,DTC,305,1,5226,0,4,2023-01-02,1,4467,28,0.8,2023-01-19,2023-01-30,2023-02-01,1,0,Damaged in transit
33,DTC,323,3,208,0,5,2023-01-02,2,13264,22,0.8,2023-01-15,2023-01-24,2023-01-26,2,0,Fit / size
34,DTC,338,1,220,0,2,2023-01-02,1,5746,28,0.8,2023-01-19,2023-01-30,2023-02-01,1,0,Changed mind
35,DTC,353,1,844,0,42,2023-01-02,1,8149,17,0.8,2023-01-12,2023-01-19,2023-01-21,1,0,Changed mind
36,DTC,366,1,235,0,36,2023-01-03,2,3687,21,0.8,2023-01-16,2023-01-24,2023-01-26,2,0,Fit / size
37,DTC,368,2,237,0,1,2023-01-03,2,11507,20,0.8,2023-01-15,2023-01-23,2023-01-25,2,0,Changed mind
38,DTC,380,3,43579,0,5,2023-01-03,1,6632,26,0.8,2023-01-19,2023-01-29,2023-01-31,1,0,Not as expected
39,DTC,381,1,246,0,8,2023-01-03,1,5223,25,0.8,2023-01-18,2023-01-28,2023-01-30,1,0,Not as expected
40,DTC,382,2,34991,0,54,2023-01-03,1,5571,14,0.8,2023-01-11,2023-01-17,2023-01-19,1,0,Fit / size
41,DTC,409,1,267,0,1,2023-01-03,1,5753,8,0.8,2023-01-08,2023-01-11,2023-01-13,1,0,Changed mind
42,DTC,422,1,278,0,22,2023-01-03,1,5736,23,0.8,2023-01-17,2023-01-26,2023-01-28,1,0,Defect
43,DTC,443,1,289,0,2,2023-01-03,2,11492,15,0.8,2023-01-12,2023-01-18,2023-01-20,2,0,Fit / size
44,DTC,444,1,41730,0,1,2023-01-03,1,5753,8,0.8,2023-01-08,2023-01-11,2023-01-13,1,0,Fit / size
45,DTC,447,1,290,0,4,2023-01-03,1,4467,13,0.8,2023-01-11,2023-01-16,2023-01-18,1,0,Defect
46,DTC,472,1,309,0,3,2023-01-03,1,5360,26,0.8,2023-01-19,2023-01-29,2023-01-31,1,0,Damaged in transit
47,DTC,495,1,323,0,14,2023-01-03,1,5478,25,0.8,2023-01-18,2023-01-28,2023-01-30,1,0,Changed mind
48,DTC,530,2,345,0,7,2023-01-04,1,5688,16,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Fit / size
49,DTC,540,1,351,0,31,2023-01-04,1,5363,24,0.8,2023-01-18,2023-01-28,2023-01-30,1,0,Defect
50,DTC,553,1,39284,0,4,2023-01-04,1,4467,25,0.8,2023-01-19,2023-01-29,2023-01-31,1,0,Not as expected
51,DTC,559,1,363,0,2,2023-01-04,1,5746,18,0.8,2023-01-15,2023-01-22,2023-01-24,1,0,Defect
52,DTC,560,1,364,0,4,2023-01-04,2,8935,19,0.8,2023-01-15,2023-01-23,2023-01-25,2,0,Fit / size
53,DTC,585,2,380,0,32,2023-01-04,1,3866,16,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Fit / size
54,DTC,597,1,388,0,5,2023-01-04,1,6632,19,0.8,2023-01-15,2023-01-23,2023-01-25,1,0,Changed mind
55,DTC,603,1,391,0,2,2023-01-04,2,11492,17,0.8,2023-01-14,2023-01-21,2023-01-23,2,0,Fit / size
56,DTC,622,1,404,0,48,2023-01-04,1,6373,18,0.8,2023-01-15,2023-01-22,2023-01-24,1,0,Changed mind
57,DTC,633,1,413,0,28,2023-01-04,1,4820,17,0.8,2023-01-14,2023-01-21,2023-01-23,1,0,Changed mind
58,DTC,660,2,427,0,68,2023-01-04,1,4329,13,0.8,2023-01-12,2023-01-17,2023-01-19,1,0,Damaged in transit
59,DTC,661,1,43452,0,11,2023-01-04,1,5114,17,0.8,2023-01-14,2023-01-21,2023-01-23,1,0,Changed mind
60,DTC,663,1,428,0,1,2023-01-04,1,5753,14,0.8,2023-01-12,2023-01-18,2023-01-20,1,0,Fit / size
61,DTC,665,1,430,0,16,2023-01-04,2,13131,16,0.8,2023-01-14,2023-01-20,2023-01-22,2,0,Changed mind
62,DTC,666,1,431,0,23,2023-01-04,1,4050,16,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Fit / size
63,DTC,674,1,436,0,11,2023-01-05,1,5114,20,0.8,2023-01-17,2023-01-25,2023-01-27,1,0,Not as expected
64,DTC,675,1,27915,0,10,2023-01-05,1,4266,18,0.8,2023-01-16,2023-01-23,2023-01-25,1,0,Fit / size
65,DTC,681,1,7119,0,48,2023-01-05,1,6373,29,0.8,2023-01-22,2023-02-03,2023-02-05,1,0,Fit / size
66,DTC,686,1,442,0,39,2023-01-05,2,5257,29,0.8,2023-01-22,2023-02-03,2023-02-05,2,0,Defect
67,DTC,691,3,445,0,8,2023-01-05,1,5223,19,0.8,2023-01-16,2023-01-24,2023-01-26,1,0,Changed mind
68,DTC,694,1,447,0,24,2023-01-05,1,1773,10,0.8,2023-01-11,2023-01-15,2023-01-17,1,0,Fit / size
69,DTC,697,1,448,0,21,2023-01-05,1,1805,15,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Damaged in transit
70,DTC,700,1,449,0,26,2023-01-05,1,3901,21,0.8,2023-01-18,2023-01-26,2023-01-28,1,0,Damaged in transit
71,DTC,706,1,495,0,8,2023-01-05,2,10445,16,0.8,2023-01-15,2023-01-21,2023-01-23,2,0,Not as expected
72,DTC,717,1,6668,0,31,2023-01-05,2,10727,4,0.8,2023-01-07,2023-01-09,2023-01-11,2,0,Changed mind
73,DTC,723,2,461,0,33,2023-01-05,1,2230,19,0.8,2023-01-16,2023-01-24,2023-01-26,1,0,Fit / size
74,DTC,725,1,462,0,21,2023-01-05,1,1805,17,0.8,2023-01-15,2023-01-22,2023-01-24,1,0,Fit / size
75,DTC,734,1,468,0,34,2023-01-05,1,6924,28,0.8,2023-01-22,2023-02-02,2023-02-04,1,0,Not as expected
76,DTC,735,1,469,0,6,2023-01-05,1,4322,20,0.8,2023-01-17,2023-01-25,2023-01-27,1,0,Damaged in transit
77,DTC,738,1,30686,0,19,2023-01-05,1,5017,15,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Fit / size
78,DTC,748,1,43667,0,64,2023-01-05,1,5800,11,0.8,2023-01-12,2023-01-16,2023-01-18,1,0,Damaged in transit
79,DTC,752,2,478,0,8,2023-01-05,1,5223,13,0.8,2023-01-13,2023-01-18,2023-01-20,1,0,Changed mind
80,DTC,760,3,483,0,8,2023-01-05,1,5223,20,0.8,2023-01-17,2023-01-25,2023-01-27,1,0,Not as expected
81,DTC,762,2,24711,0,3,2023-01-05,1,5360,12,0.8,2023-01-12,2023-01-17,2023-01-19,1,0,Changed mind
82,DTC,789,1,504,0,5,2023-01-05,1,6632,25,0.8,2023-01-20,2023-01-30,2023-02-01,1,0,Changed mind
83,DTC,790,1,505,0,27,2023-01-05,2,3372,15,0.8,2023-01-14,2023-01-20,2023-01-22,2,0,Not as expected
84,DTC,813,1,523,0,1,2023-01-05,1,5753,15,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Not as expected
85,DTC,817,2,526,0,6,2023-01-05,1,4322,19,0.8,2023-01-16,2023-01-24,2023-01-26,1,0,Changed mind
86,DTC,819,1,527,0,49,2023-01-05,1,1686,20,0.8,2023-01-17,2023-01-25,2023-01-27,1,0,Fit / size
87,DTC,828,1,534,0,11,2023-01-05,1,5114,20,0.8,2023-01-17,2023-01-25,2023-01-27,1,0,Fit / size
88,DTC,840,1,35819,0,4,2023-01-05,1,4467,16,0.8,2023-01-15,2023-01-21,2023-01-23,1,0,Damaged in transit
89,DTC,843,1,543,0,21,2023-01-05,2,3611,15,0.8,2023-01-14,2023-01-20,2023-01-22,2,0,Fit / size
90,DTC,846,1,38525,0,27,2023-01-05,1,1686,25,0.8,2023-01-20,2023-01-30,2023-02-01,1,0,Fit / size
91,DTC,852,1,548,0,42,2023-01-05,1,8149,2,0.8,2023-01-06,2023-01-07,2023-01-09,1,0,Not as expected
92,DTC,857,2,553,0,30,2023-01-05,1,1747,15,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Changed mind
93,DTC,861,1,556,0,24,2023-01-05,2,3547,13,0.8,2023-01-13,2023-01-18,2023-01-20,2,0,Changed mind
94,DTC,862,1,25521,0,2,2023-01-05,1,5746,17,0.8,2023-01-15,2023-01-22,2023-01-24,1,0,Fit / size
95,DTC,866,2,559,0,1,2023-01-05,1,5753,16,0.8,2023-01-15,2023-01-21,2023-01-23,1,0,Damaged in transit
96,DTC,874,1,23019,0,2,2023-01-05,1,5746,14,0.8,2023-01-13,2023-01-19,2023-01-21,1,0,Changed mind
97,DTC,881,1,567,0,38,2023-01-05,1,4577,22,0.8,2023-01-18,2023-01-27,2023-01-29,1,0,Damaged in transit
98,DTC,883,1,568,0,1,2023-01-05,1,5753,19,0.8,2023-01-16,2023-01-24,2023-01-26,1,0,Not as expected
99,DTC,910,1,582,0,4,2023-01-06,1,4467,12,0.8,2023-01-13,2023-01-18,2023-01-20,1,0,Defect
100,DTC,910,2,582,0,8,2023-01-06,1,5223,11,0.8,2023-01-13,2023-01-17,2023-01-19,1,0,Not as expected
101,DTC,911,1,583,0,3,2023-01-06,1,5360,32,0.8,2023-01-25,2023-02-07,2023-02-09,1,0,Changed mind
102,DTC,917,1,588,0,10,2023-01-06,1,4266,16,0.8,2023-01-16,2023-01-22,2023-01-24,1,0,Fit / size
103,DTC,930,1,599,0,8,2023-01-06,1,5223,4,0.8,2023-01-08,2023-01-10,2023-01-12,1,0,Damaged in transit
104,DTC,940,1,605,0,19,2023-01-06,1,5017,14,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Changed mind
105,DTC,954,1,612,0,24,2023-01-06,1,1773,12,0.8,2023-01-13,2023-01-18,2023-01-20,1,0,Not as expected
106,DTC,970,1,621,0,7,2023-01-06,1,5688,11,0.8,2023-01-13,2023-01-17,2023-01-19,1,0,Damaged in transit
107,DTC,972,1,623,0,23,2023-01-06,1,4050,27,0.8,2023-01-22,2023-02-02,2023-02-04,1,0,Changed mind
108,DTC,992,1,638,0,32,2023-01-06,1,3866,29,0.8,2023-01-23,2023-02-04,2023-02-06,1,0,Defect
109,DTC,1006,1,647,0,2,2023-01-06,1,5746,25,0.8,2023-01-21,2023-01-31,2023-02-02,1,0,Changed mind
110,DTC,1009,1,648,0,5,2023-01-06,1,6632,12,0.8,2023-01-13,2023-01-18,2023-01-20,1,0,Changed mind
111,DTC,1015,1,33150,0,4,2023-01-06,1,4467,22,0.8,2023-01-19,2023-01-28,2023-01-30,1,0,Changed mind
112,DTC,1021,1,657,0,26,2023-01-06,1,3901,23,0.8,2023-01-20,2023-01-29,2023-01-31,1,0,Not as expected
113,DTC,1021,2,657,0,2,2023-01-06,1,5746,15,0.8,2023-01-15,2023-01-21,2023-01-23,1,0,Fit / size
114,DTC,1028,1,662,0,9,2023-01-06,1,5975,16,0.8,2023-01-16,2023-01-22,2023-01-24,1,0,Fit / size
115,DTC,1043,2,671,0,1,2023-01-06,1,5753,14,0.8,2023-01-14,2023-01-20,2023-01-22,1,0,Not as expected
116,DTC,1078,1,698,0,20,2023-01-07,1,3992,21,0.8,2023-01-20,2023-01-28,2023-01-30,1,0,Changed mind
117,DTC,1090,1,706,0,1,2023-01-07,1,5753,17,0.8,2023-01-17,2023-01-24,2023-01-26,1,0,Not as expected
118,DTC,1105,1,714,0,65,2023-01-07,1,5595,16,0.8,2023-01-17,2023-01-23,2023-01-25,1,0,Fit / size
119,DTC,1122,1,726,0,2,2023-01-07,1,5746,22,0.8,2023-01-20,2023-01-29,2023-01-31,1,0,Defect
120,DTC,1136,1,9611,0,6,2023-01-07,1,4322,21,0.8,2023-01-20,2023-01-28,2023-01-30,1,0,Defect
121,DTC,1149,3,744,0,43,2023-01-07,1,4834,18,0.8,2023-01-18,2023-01-25,2023-01-27,1,0,Fit / size
122,DTC,1167,3,8511,0,2,2023-01-07,1,5746,15,0.8,2023-01-16,2023-01-22,2023-01-24,1,0,Fit / size
123,DTC,1180,1,14795,0,1,2023-01-07,1,5753,21,0.8,2023-01-20,2023-01-28,2023-01-30,1,0,Damaged in transit
124,DTC,1188,1,46569,0,2,2023-01-07,1,5746,20,0.8,2023-01-19,2023-01-27,2023-01-29,1,0,Damaged in transit
125,DTC,1207,1,782,0,8,2023-01-07,1,5223,4,0.8,2023-01-09,2023-01-11,2023-01-13,1,0,Not as expected
126,DTC,1210,2,33290,0,24,2023-01-07,1,1773,22,0.8,2023-01-20,2023-01-29,2023-01-31,1,0,Defect
127,DTC,1224,1,794,0,81,2023-01-07,2,13558,26,0.8,2023-01-23,2023-02-02,2023-02-04,2,0,Defect
128,DTC,1248,2,809,0,2,2023-01-08,1,5746,37,0.8,2023-01-30,2023-02-14,2023-02-16,1,0,Not as expected
129,DTC,1250,1,810,0,2,2023-01-08,1,5746,17,0.8,2023-01-18,2023-01-25,2023-01-27,1,0,Damaged in transit
130,DTC,1251,1,811,0,7,2023-01-08,1,5688,16,0.8,2023-01-18,2023-01-24,2023-01-26,1,0,Damaged in transit
131,DTC,1255,1,11659,0,16,2023-01-08,1,6565,23,0.8,2023-01-22,2023-01-31,2023-02-02,1,0,Not as expected
132,DTC,1277,2,829,0,36,2023-01-08,1,1844,28,0.8,2023-01-25,2023-02-05,2023-02-07,1,0,Not as expected
133,DTC,1288,1,6115,0,1,2023-01-08,1,5753,8,0.8,2023-01-13,2023-01-16,2023-01-18,1,0,Fit / size
134,DTC,1288,2,6115,0,1,2023-01-08,1,5753,16,0.8,2023-01-18,2023-01-24,2023-01-26,1,0,Fit / size
135,DTC,1291,1,837,0,38,2023-01-08,1,4577,34,0.8,2023-01-28,2023-02-11,2023-02-13,1,0,Fit / size
136,DTC,1293,1,839,0,11,2023-01-08,1,5114,7,0.8,2023-01-12,2023-01-15,2023-01-17,1,0,Not as expected
137,DTC,1320,2,855,0,10,2023-01-08,1,4266,16,0.8,2023-01-18,2023-01-24,2023-01-26,1,0,Defect
138,DTC,1331,1,863,0,27,2023-01-08,1,1686,23,0.8,2023-01-22,2023-01-31,2023-02-02,1,0,Fit / size
139,DTC,1333,1,864,0,1,2023-01-08,1,5753,17,0.8,2023-01-18,2023-01-25,2023-01-27,1,0,Fit / size
140,DTC,1334,1,865,0,3,2023-01-08,1,5360,20,0.8,2023-01-20,2023-01-28,2023-01-30,1,0,Fit / size
141,DTC,1383,1,34076,0,11,2023-01-08,1,5114,27,0.8,2023-01-24,2023-02-04,2023-02-06,1,0,Damaged in transit
142,DTC,1393,1,906,0,7,2023-01-08,2,11376,14,0.8,2023-01-16,2023-01-22,2023-01-24,2,0,Fit / size
143,DTC,1397,1,32937,0,40,2023-01-08,1,6742,24,0.8,2023-01-22,2023-02-01,2023-02-03,1,0,Not as expected
144,DTC,1400,1,910,0,36,2023-01-08,2,3687,25,0.8,2023-01-23,2023-02-02,2023-02-04,2,0,Damaged in transit
145,DTC,1416,2,11738,0,5,2023-01-08,2,13264,24,0.8,2023-01-22,2023-02-01,2023-02-03,2,0,Fit / size
146,DTC,1448,1,936,0,54,2023-01-09,1,5571,19,0.8,2023-01-20,2023-01-28,2023-01-30,1,0,Defect
147,DTC,1488,1,952,0,4,2023-01-09,2,8935,10,0.8,2023-01-15,2023-01-19,2023-01-21,2,0,Defect
148,DTC,1491,1,953,0,2,2023-01-09,1,5746,17,0.8,2023-01-19,2023-01-26,2023-01-28,1,0,Changed mind
149,DTC,1492,3,954,0,2,2023-01-09,1,5746,8,0.8,2023-01-14,2023-01-17,2023-01-19,1,0,Defect
150,DTC,1500,1,961,0,4,2023-01-09,1,4467,17,0.8,2023-01-19,2023-01-26,2023-01-28,1,0,Fit / size
151,DTC,1507,1,11583,0,4,2023-01-09,1,4467,33,0.8,2023-01-29,2023-02-11,2023-02-13,1,0,Fit / size
152,DTC,1513,3,22894,0,4,2023-01-09,1,4467,14,0.8,2023-01-17,2023-01-23,2023-01-25,1,0,Not as expected
153,DTC,1517,1,3810,0,10,2023-01-09,1,4266,16,0.8,2023-01-19,2023-01-25,2023-01-27,1,0,Defect
154,DTC,1522,2,6845,0,18,2023-01-09,1,2582,21,0.8,2023-01-22,2023-01-30,2023-02-01,1,0,Changed mind
155,DTC,1566,1,40586,0,7,2023-01-09,2,11376,9,0.8,2023-01-14,2023-01-18,2023-01-20,2,0,Changed mind
156,DTC,1584,1,1004,0,24,2023-01-10,1,1773,22,0.8,2023-01-23,2023-02-01,2023-02-03,1,0,Not as expected
157,DTC,1587,2,1006,0,4,2023-01-10,1,4467,7,0.8,2023-01-14,2023-01-17,2023-01-19,1,0,Defect
158,DTC,1593,2,1011,0,49,2023-01-10,1,1686,18,0.8,2023-01-21,2023-01-28,2023-01-30,1,0,Defect
159,DTC,1622,1,21752,0,12,2023-01-10,1,4830,24,0.8,2023-01-24,2023-02-03,2023-02-05,1,0,Defect
160,DTC,1623,1,42494,0,23,2023-01-10,1,4050,23,0.8,2023-01-24,2023-02-02,2023-02-04,1,0,Fit / size
161,DTC,1623,2,42494,0,67,2023-01-10,1,7535,19,0.8,2023-01-21,2023-01-29,2023-01-31,1,0,Fit / size
162,DTC,1627,1,1033,0,2,2023-01-10,1,5746,13,0.8,2023-01-18,2023-01-23,2023-01-25,1,0,Fit / size
163,DTC,1634,2,1037,0,1,2023-01-10,1,5753,12,0.8,2023-01-17,2023-01-22,2023-01-24,1,0,Changed mind
164,DTC,1653,2,1048,0,74,2023-01-10,2,7760,15,0.8,2023-01-19,2023-01-25,2023-01-27,2,0,Changed mind
165,DTC,1657,2,41315,0,7,2023-01-10,1,5688,13,0.8,2023-01-18,2023-01-23,2023-01-25,1,0,Changed mind
166,DTC,1664,3,1054,0,49,2023-01-10,1,1686,13,0.8,2023-01-18,2023-01-23,2023-01-25,1,0,Damaged in transit
167,DTC,1672,2,1062,0,26,2023-01-10,1,3901,15,0.8,2023-01-19,2023-01-25,2023-01-27,1,0,Fit / size
168,DTC,1688,2,1072,0,6,2023-01-10,1,4322,24,0.8,2023-01-24,2023-02-03,2023-02-05,1,0,Defect
169,DTC,1698,1,7143,0,59,2023-01-10,2,7982,10,0.8,2023-01-16,2023-01-20,2023-01-22,2,0,Not as expected
170,DTC,1742,1,14539,0,27,2023-01-10,2,3372,27,0.8,2023-01-26,2023-02-06,2023-02-08,2,0,Not as expected
171,DTC,1746,1,46189,0,10,2023-01-10,1,4266,28,0.8,2023-01-27,2023-02-07,2023-02-09,1,0,Defect
172,DTC,1754,1,12062,0,14,2023-01-10,2,10956,16,0.8,2023-01-20,2023-01-26,2023-01-28,2,0,Damaged in transit
173,DTC,1757,1,1113,0,13,2023-01-10,1,4984,14,0.8,2023-01-18,2023-01-24,2023-01-26,1,0,Changed mind
174,DTC,1769,1,1120,0,28,2023-01-10,1,4820,15,0.8,2023-01-19,2023-01-25,2023-01-27,1,0,Damaged in transit
175,DTC,1781,2,43018,0,2,2023-01-10,1,5746,4,0.8,2023-01-12,2023-01-14,2023-01-16,1,0,Defect
176,DTC,1786,1,1130,0,4,2023-01-10,1,4467,19,0.8,2023-01-21,2023-01-29,2023-01-31,1,0,Fit / size
177,DTC,1787,1,13054,0,28,2023-01-10,2,9641,12,0.8,2023-01-17,2023-01-22,2023-01-24,2,0,Changed mind
178,DTC,1811,2,1145,0,35,2023-01-11,1,5044,25,0.8,2023-01-26,2023-02-05,2023-02-07,1,0,Damaged in transit
179,DTC,1812,1,1146,0,27,2023-01-11,1,1686,30,0.8,2023-01-29,2023-02-10,2023-02-12,1,0,Not as expected
180,DTC,1812,2,1146,0,11,2023-01-11,1,5114,16,0.8,2023-01-21,2023-01-27,2023-01-29,1,0,Damaged in transit
181,DTC,1831,1,1157,0,49,2023-01-11,1,1686,28,0.8,2023-01-28,2023-02-08,2023-02-10,1,0,Fit / size
182,DTC,1843,2,1162,0,24,2023-01-11,2,3547,11,0.8,2023-01-18,2023-01-22,2023-01-24,2,0,Damaged in transit
183,DTC,1843,3,1162,0,4,2023-01-11,2,8935,26,0.8,2023-01-27,2023-02-06,2023-02-08,2,0,Fit / size
184,DTC,1847,1,1166,0,3,2023-01-11,1,5360,16,0.8,2023-01-21,2023-01-27,2023-01-29,1,0,Changed mind
185,DTC,1861,2,1174,0,8,2023-01-11,1,5223,22,0.8,2023-01-24,2023-02-02,2023-02-04,1,0,Damaged in transit
186,DTC,1872,2,1181,0,26,2023-01-11,1,3901,9,0.8,2023-01-16,2023-01-20,2023-01-22,1,0,Damaged in transit
187,DTC,1883,1,50315,0,26,2023-01-11,1,3901,25,0.8,2023-01-26,2023-02-05,2023-02-07,1,0,Fit / size
188,DTC,1901,1,1200,0,11,2023-01-11,2,10228,21,0.8,2023-01-24,2023-02-01,2023-02-03,2,0,Damaged in transit
189,DTC,1902,1,1201,0,4,2023-01-11,1,4467,24,0.8,2023-01-25,2023-02-04,2023-02-06,1,0,Defect
190,DTC,1904,1,1203,0,3,2023-01-11,1,5360,11,0.8,2023-01-18,2023-01-22,2023-01-24,1,0,Not as expected
191,DTC,1909,1,1206,0,1,2023-01-11,1,5753,15,0.8,2023-01-20,2023-01-26,2023-01-28,1,0,Fit / size
192,DTC,1916,1,1210,0,33,2023-01-11,1,2230,15,0.8,2023-01-20,2023-01-26,2023-01-28,1,0,Damaged in transit
193,DTC,1920,1,1213,0,10,2023-01-11,1,4266,5,0.8,2023-01-14,2023-01-16,2023-01-18,1,0,Not as expected
194,DTC,1931,1,29617,0,1,2023-01-11,2,11507,24,0.8,2023-01-25,2023-02-04,2023-02-06,2,0,Changed mind
195,DTC,1937,3,19933,0,27,2023-01-11,2,3372,22,0.8,2023-01-24,2023-02-02,2023-02-04,2,0,Not as expected
196,DTC,1956,1,6890,0,2,2023-01-11,1,5746,13,0.8,2023-01-19,2023-01-24,2023-01-26,1,0,Changed mind
197,DTC,1957,1,1235,0,49,2023-01-11,1,1686,10,0.8,2023-01-17,2023-01-21,2023-01-23,1,0,Not as expected
198,DTC,1958,1,1236,0,24,2023-01-11,2,3547,23,0.8,2023-01-25,2023-02-03,2023-02-05,2,0,Defect
199,DTC,1962,1,1240,0,6,2023-01-11,2,8644,20,0.8,2023-01-23,2023-01-31,2023-02-02,2,0,Fit / size
200,DTC,1965,1,4332,0,9,2023-01-11,1,5975,29,0.8,2023-01-28,2023-02-09,2023-02-11,1,0,Not as expected
201,DTC,1974,1,1250,0,6,2023-01-11,1,4322,5,0.8,2023-01-14,2023-01-16,2023-01-18,1,0,Damaged in transit
202,DTC,1979,1,46759,0,2,2023-01-12,1,5746,27,0.8,2023-01-28,2023-02-08,2023-02-10,1,0,Defect
203,DTC,2005,1,1265,0,50,2023-01-12,1,8043,13,0.8,2023-01-20,2023-01-25,2023-01-27,1,0,Not as expected
204,DTC,2015,1,1269,0,30,2023-01-12,1,1747,13,0.8,2023-01-20,2023-01-25,2023-01-27,1,0,Changed mind
205,DTC,2026,2,38073,0,8,2023-01-12,1,5223,25,0.8,2023-01-27,2023-02-06,2023-02-08,1,0,Changed mind
206,DTC,2034,1,1281,0,11,2023-01-12,2,10228,15,0.8,2023-01-21,2023-01-27,2023-01-29,2,0,Not as expected
207,DTC,2042,2,1286,0,4,2023-01-12,1,4467,9,0.8,2023-01-17,2023-01-21,2023-01-23,1,0,Not as expected
208,DTC,2047,1,1290,0,1,2023-01-12,1,5753,16,0.8,2023-01-22,2023-01-28,2023-01-30,1,0,Changed mind
209,DTC,2050,2,1293,0,23,2023-01-12,1,4050,33,0.8,2023-02-01,2023-02-14,2023-02-16,1,0,Defect
