date,account_code,department_name,memo,amount,version_name,scenario_name
2023-01-02,4140,Wholesale Sales,Wholesale sale,16.877636,Actual,
2023-01-02,4150,Wholesale Sales,Wholesale sale,14.064697,Actual,
2023-01-02,5000,Supply Chain / Operations,COGS on shipment,5283.705475,Actual,
2023-01-02,5010,Supply Chain / Operations,COGS on shipment,812.877765,Actual,
2023-01-02,5020,Supply Chain / Operations,COGS on shipment,677.398138,Actual,
2023-01-02,5100,Supply Chain / Operations,DTC delivery cost,1377.5,Actual,
2023-01-02,5110,Supply Chain / Operations,Wholesale delivery cost,81.95934,Actual,
2023-01-02,5200,Supply Chain / Operations,DTC delivery cost,617.5,Actual,
2023-01-02,5210,Supply Chain / Operations,Wholesale delivery cost,95.85,Actual,
2023-01-03,1000,Finance,DTC delivery cost,-1617.0,Actual,
2023-01-03,1000,Finance,Refund paid,-48.203573,Actual,
2023-01-03,1000,Finance,Wholesale delivery cost,-46.72388,Actual,
2023-01-03,1100,Wholesale Sales,Wholesale sale,1070.771086,Actual,
2023-01-03,1150,Marketing / Ecommerce,DTC sale,12329.414839,Actual,
2023-01-03,1200,Supply Chain / Operations,COGS on shipment,-4075.430314,Actual,
2023-01-03,1200,Supply Chain / Operations,Return to stock,15.001088,Actual,
2023-01-03,2200,Finance,Refund paid,48.203573,Actual,
2023-01-03,2200,Finance,Returns reserve,-766.592307,Actual,
2023-01-03,4000,Marketing / Ecommerce,DTC sale,-11957.040684,Actual,
2023-01-03,4010,Wholesale Sales,Wholesale sale,-1084.199356,Actual,
2023-01-03,4020,Marketing / Ecommerce,DTC sale,-372.374154,Actual,
2023-01-03,4110,Marketing / Ecommerce,Returns reserve,766.592307,Actual,
2023-01-03,4130,Wholesale Sales,Wholesale sale,6.042722,Actual,
2023-01-03,4140,Wholesale Sales,Wholesale sale,4.028481,Actual,
2023-01-03,4150,Wholesale Sales,Wholesale sale,3.357068,Actual,
2023-01-03,5000,Supply Chain / Operations,COGS on shipment,3178.835645,Actual,
2023-01-03,5000,Supply Chain / Operations,Return to stock,-15.001088,Actual,
2023-01-03,5010,Supply Chain / Operations,COGS on shipment,489.051638,Actual,
2023-01-03,5020,Supply Chain / Operations,COGS on shipment,407.543031,Actual,
2023-01-03,5100,Supply Chain / Operations,DTC delivery cost,1116.5,Actual,
2023-01-03,5110,Supply Chain / Operations,Wholesale delivery cost,19.27388,Actual,
2023-01-03,5200,Supply Chain / Operations,DTC delivery cost,500.5,Actual,
2023-01-03,5210,Supply Chain / Operations,Wholesale delivery cost,27.45,Actual,
2023-01-04,1000,Finance,DTC delivery cost,-1669.5,Actual,
2023-01-04,1000,Finance,Processor settlement,12990.28527,Actual,
2023-01-04,1150,Marketing / Ecommerce,DTC sale,13390.343025,Actual,
2023-01-04,1150,Marketing / Ecommerce,Processor settlement,-12990.28527,Actual,
2023-01-04,1200,Supply Chain / Operations,COGS on shipment,-3618.563346,Actual,
2023-01-04,2200,Finance,Returns reserve,-957.604827,Actual,
2023-01-04,4000,Marketing / Ecommerce,DTC sale,-13006.511204,Actual,
2023-01-04,4020,Marketing / Ecommerce,DTC sale,-383.831821,Actual,
2023-01-04,4110,Marketing / Ecommerce,Returns reserve,957.604827,Actual,
2023-01-04,5000,Supply Chain / Operations,COGS on shipment,2822.47941,Actual,
2023-01-04,5010,Supply Chain / Operations,COGS on shipment,434.227602,Actual,
2023-01-04,5020,Supply Chain / Operations,COGS on shipment,361.856335,Actual,
2023-01-04,5100,Supply Chain / Operations,DTC delivery cost,1152.75,Actual,
2023-01-04,5200,Supply Chain / Operations,DTC delivery cost,516.75,Actual,
2023-01-05,1000,Finance,DTC delivery cost,-2257.5,Actual,
2023-01-05,1000,Finance,Processor settlement,14852.628342,Actual,
2023-01-05,1150,Marketing / Ecommerce,DTC sale,17352.151689,Actual,
2023-01-05,1150,Marketing / Ecommerce,Processor settlement,-14852.628342,Actual,
2023-01-05,1200,Supply Chain / Operations,COGS on shipment,-4804.826951,Actual,
2023-01-05,2200,Finance,Returns reserve,-1744.497922,Actual,
2023-01-05,4000,Marketing / Ecommerce,DTC sale,-16870.929705,Actual,
2023-01-05,4020,Marketing / Ecommerce,DTC sale,-481.221984,Actual,
2023-01-05,4110,Marketing / Ecommerce,Returns reserve,1744.497922,Actual,
2023-01-05,5000,Supply Chain / Operations,COGS on shipment,3747.765022,Actual,
2023-01-05,5010,Supply Chain / Operations,COGS on shipment,576.579234,Actual,
2023-01-05,5020,Supply Chain / Operations,COGS on shipment,480.482695,Actual,
2023-01-05,5100,Supply Chain / Operations,DTC delivery cost,1558.75,Actual,
2023-01-05,5200,Supply Chain / Operations,DTC delivery cost,698.75,Actual,
2023-01-06,1000,Finance,DTC delivery cost,-1974.0,Actual,
2023-01-06,1000,Finance,Processor settlement,12329.414839,Actual,
2023-01-06,1000,Finance,Wholesale delivery cost,-1897.572613,Actual,
2023-01-06,1100,Wholesale Sales,Wholesale sale,40645.700718,Actual,
2023-01-06,1150,Marketing / Ecommerce,DTC sale,15698.543602,Actual,
2023-01-06,1150,Marketing / Ecommerce,Processor settlement,-12329.414839,Actual,
2023-01-06,1200,Supply Chain / Operations,COGS on shipment,-34933.654869,Actual,
2023-01-06,2200,Finance,Returns reserve,-831.542487,Actual,
2023-01-06,4000,Marketing / Ecommerce,DTC sale,-15245.965784,Actual,
2023-01-06,4010,Wholesale Sales,Wholesale sale,-43203.693882,Actual,
2023-01-06,4020,Marketing / Ecommerce,DTC sale,-452.577819,Actual,
2023-01-06,4110,Marketing / Ecommerce,Returns reserve,831.542487,Actual,
2023-01-06,4130,Wholesale Sales,Wholesale sale,1151.096924,Actual,
2023-01-06,4140,Wholesale Sales,Wholesale sale,767.397949,Actual,
2023-01-06,4150,Wholesale Sales,Wholesale sale,639.498291,Actual,
2023-01-06,5000,Supply Chain / Operations,COGS on shipment,27248.250798,Actual,
2023-01-06,5010,Supply Chain / Operations,COGS on shipment,4192.038584,Actual,
2023-01-06,5020,Supply Chain / Operations,COGS on shipment,3493.365487,Actual,
2023-01-06,5100,Supply Chain / Operations,DTC delivery cost,1363.0,Actual,
2023-01-06,5110,Supply Chain / Operations,Wholesale delivery cost,731.622613,Actual,
2023-01-06,5200,Supply Chain / Operations,DTC delivery cost,611.0,Actual,
2023-01-06,5210,Supply Chain / Operations,Wholesale delivery cost,1165.95,Actual,
2023-01-07,1000,Finance,DTC delivery cost,-1701.0,Actual,
2023-01-07,1000,Finance,Processor settlement,13390.343025,Actual,
2023-01-07,1000,Finance,Refund paid,-44.674074,Actual,
2023-01-07,1150,Marketing / Ecommerce,DTC sale,12712.716299,Actual,
2023-01-07,1150,Marketing / Ecommerce,Processor settlement,-13390.343025,Actual,
2023-01-07,1200,Supply Chain / Operations,COGS on shipment,-3532.43877,Actual,
2023-01-07,1200,Supply Chain / Operations,Return to stock,15.001088,Actual,
2023-01-07,2200,Finance,Refund paid,44.674074,Actual,
2023-01-07,2200,Finance,Returns reserve,-680.415771,Actual,
2023-01-07,4000,Marketing / Ecommerce,DTC sale,-12328.884478,Actual,
2023-01-07,4020,Marketing / Ecommerce,DTC sale,-383.831821,Actual,
2023-01-07,4110,Marketing / Ecommerce,Returns reserve,680.415771,Actual,
2023-01-07,5000,Supply Chain / Operations,COGS on shipment,2755.302241,Actual,
2023-01-07,5000,Supply Chain / Operations,Return to stock,-15.001088,Actual,
2023-01-07,5010,Supply Chain / Operations,COGS on shipment,423.892652,Actual,
2023-01-07,5020,Supply Chain / Operations,COGS on shipment,353.243877,Actual,
2023-01-07,5100,Supply Chain / Operations,DTC delivery cost,1174.5,Actual,
2023-01-07,5200,Supply Chain / Operations,DTC delivery cost,526.5,Actual,
2023-01-08,1000,Finance,DTC delivery cost,-2016.0,Actual,
2023-01-08,1000,Finance,Processor settlement,17352.151689,Actual,
2023-01-08,1000,Finance,Refund paid,-163.763803,Actual,
2023-01-08,1150,Marketing / Ecommerce,DTC sale,15576.562522,Actual,
2023-01-08,1150,Marketing / Ecommerce,Processor settlement,-17352.151689,Actual,
2023-01-08,1200,Supply Chain / Operations,COGS on shipment,-4266.776233,Actual,
2023-01-08,1200,Supply Chain / Operations,Return to stock,45.003264,Actual,
2023-01-08,2200,Finance,Refund paid,163.763803,Actual,
2023-01-08,2200,Finance,Returns reserve,-1040.350592,Actual,
2023-01-08,4000,Marketing / Ecommerce,DTC sale,-15158.357703,Actual,
2023-01-08,4020,Marketing / Ecommerce,DTC sale,-418.20482,Actual,
2023-01-08,4110,Marketing / Ecommerce,Returns reserve,1040.350592,Actual,
2023-01-08,5000,Supply Chain / Operations,COGS on shipment,3328.085462,Actual,
2023-01-08,5000,Supply Chain / Operations,Return to stock,-45.003264,Actual,
2023-01-08,5010,Supply Chain / Operations,COGS on shipment,512.013148,Actual,
2023-01-08,5020,Supply Chain / Operations,COGS on shipment,426.677623,Actual,
2023-01-08,5100,Supply Chain / Operations,DTC delivery cost,1392.0,Actual,
2023-01-08,5200,Supply Chain / Operations,DTC delivery cost,624.0,Actual,
2023-01-09,1000,Finance,DTC delivery cost,-1512.0,Actual,
2023-01-09,1000,Finance,Processor settlement,15698.543602,Actual,
2023-01-09,1000,Finance,Wholesale delivery cost,-42.063595,Actual,
2023-01-09,1100,Wholesale Sales,Wholesale sale,1086.866408,Actual,
2023-01-09,1150,Marketing / Ecommerce,DTC sale,11274.862519,Actual,
2023-01-09,1150,Marketing / Ecommerce,Processor settlement,-15698.543602,Actual,
2023-01-09,1200,Supply Chain / Operations,COGS on shipment,-3751.159653,Actual,
2023-01-09,2200,Finance,Returns reserve,-576.233855,Actual,
2023-01-09,4000,Marketing / Ecommerce,DTC sale,-10896.759531,Actual,
2023-01-09,4010,Wholesale Sales,Wholesale sale,-1100.496526,Actual,
2023-01-09,4020,Marketing / Ecommerce,DTC sale,-378.102988,Actual,
2023-01-09,4110,Marketing / Ecommerce,Returns reserve,576.233855,Actual,
2023-01-09,4130,Wholesale Sales,Wholesale sale,6.133553,Actual,
2023-01-09,4140,Wholesale Sales,Wholesale sale,4.089035,Actual,
2023-01-09,4150,Wholesale Sales,Wholesale sale,3.407529,Actual,
2023-01-09,5000,Supply Chain / Operations,COGS on shipment,2925.90453,Actual,
2023-01-09,5010,Supply Chain / Operations,COGS on shipment,450.139158,Actual,
2023-01-09,5020,Supply Chain / Operations,COGS on shipment,375.115965,Actual,
2023-01-09,5100,Supply Chain / Operations,DTC delivery cost,1044.0,Actual,
2023-01-09,5110,Supply Chain / Operations,Wholesale delivery cost,19.563595,Actual,
2023-01-09,5200,Supply Chain / Operations,DTC delivery cost,468.0,Actual,
2023-01-09,5210,Supply Chain / Operations,Wholesale delivery cost,22.5,Actual,
2023-01-10,1000,Finance,DTC delivery cost,-2257.5,Actual,
2023-01-10,1000,Finance,Processor settlement,12712.716299,Actual,
2023-01-10,1000,Finance,Refund paid,-44.674074,Actual,
2023-01-10,1150,Marketing / Ecommerce,DTC sale,17380.991456,Actual,
2023-01-10,1150,Marketing / Ecommerce,Processor settlement,-12712.716299,Actual,
2023-01-10,1200,Supply Chain / Operations,COGS on shipment,-4809.88329,Actual,
2023-01-10,1200,Supply Chain / Operations,Return to stock,15.001088,Actual,
2023-01-10,2200,Finance,Refund paid,44.674074,Actual,
2023-01-10,2200,Finance,Returns reserve,-1154.331186,Actual,
2023-01-10,4000,Marketing / Ecommerce,DTC sale,-16928.413638,Actual,
2023-01-10,4020,Marketing / Ecommerce,DTC sale,-452.577819,Actual,
2023-01-10,4110,Marketing / Ecommerce,Returns reserve,1154.331186,Actual,
2023-01-10,5000,Supply Chain / Operations,COGS on shipment,3751.708966,Actual,
2023-01-10,5000,Supply Chain / Operations,Return to stock,-15.001088,Actual,
2023-01-10,5010,Supply Chain / Operations,COGS on shipment,577.185995,Actual,
2023-01-10,5020,Supply Chain / Operations,COGS on shipment,480.988329,Actual,
2023-01-10,5100,Supply Chain / Operations,DTC delivery cost,1558.75,Actual,
2023-01-10,5200,Supply Chain / Operations,DTC delivery cost,698.75,Actual,
2023-01-11,1000,Finance,DTC delivery cost,-1974.0,Actual,
2023-01-11,1000,Finance,Processor settlement,15576.562522,Actual,
2023-01-11,1000,Finance,Refund paid,-336.437739,Actual,
2023-01-11,1150,Marketing / Ecommerce,DTC sale,15130.020034,Actual,
2023-01-11,1150,Marketing / Ecommerce,Processor settlement,-15576.562522,Actual,
2023-01-11,1200,Supply Chain / Operations,COGS on shipment,-4166.315434,Actual,
2023-01-11,1200,Supply Chain / Operations,Return to stock,105.007616,Actual,
2023-01-11,2200,Finance,Refund paid,336.437739,Actual,
2023-01-11,2200,Finance,Returns reserve,-1214.974391,Actual,
2023-01-11,4000,Marketing / Ecommerce,DTC sale,-14763.374713,Actual,
2023-01-11,4020,Marketing / Ecommerce,DTC sale,-366.645321,Actual,
2023-01-11,4110,Marketing / Ecommerce,Returns reserve,1214.974391,Actual,
2023-01-11,5000,Supply Chain / Operations,COGS on shipment,3249.726038,Actual,
2023-01-11,5000,Supply Chain / Operations,Return to stock,-105.007616,Actual,
2023-01-11,5010,Supply Chain / Operations,COGS on shipment,499.957852,Actual,
2023-01-11,5020,Supply Chain / Operations,COGS on shipment,416.631543,Actual,
2023-01-11,5100,Supply Chain / Operations,DTC delivery cost,1363.0,Actual,
2023-01-11,5200,Supply Chain / Operations,DTC delivery cost,611.0,Actual,
2023-01-12,1000,Finance,DTC delivery cost,-1827.0,Actual,
2023-01-12,1000,Finance,Processor settlement,11274.862519,Actual,
2023-01-12,1000,Finance,Refund paid,-147.103582,Actual,
2023-01-12,1150,Marketing / Ecommerce,DTC sale,13679.368862,Actual,
2023-01-12,1150,Marketing / Ecommerce,Processor settlement,-11274.862519,Actual,
2023-01-12,1200,Supply Chain / Operations,COGS on shipment,-3832.920572,Actual,
2023-01-12,1200,Supply Chain / Operations,Return to stock,45.003264,Actual,
2023-01-12,2200,Finance,Refund paid,147.103582,Actual,
2023-01-12,2200,Finance,Returns reserve,-966.10771,Actual,
2023-01-12,4000,Marketing / Ecommerce,DTC sale,-13238.24871,Actual,
2023-01-12,4020,Marketing / Ecommerce,DTC sale,-441.120152,Actual,
2023-01-12,4110,Marketing / Ecommerce,Returns reserve,966.10771,Actual,
2023-01-12,5000,Supply Chain / Operations,COGS on shipment,2989.678046,Actual,
2023-01-12,5000,Supply Chain / Operations,Return to stock,-45.003264,Actual,
2023-01-12,5010,Supply Chain / Operations,COGS on shipment,459.950469,Actual,
2023-01-12,5020,Supply Chain / Operations,COGS on shipment,383.292057,Actual,
2023-01-12,5100,Supply Chain / Operations,DTC delivery cost,1261.5,Actual,
2023-01-12,5200,Supply Chain / Operations,DTC delivery cost,565.5,Actual,
2023-01-13,1000,Finance,DTC delivery cost,-1638.0,Actual,
2023-01-13,1000,Finance,Processor settlement,17380.991456,Actual,
2023-01-13,1000,Finance,Refund paid,-245.695068,Actual,
2023-01-13,1000,Finance,Wholesale delivery cost,-448.10165,Actual,
2023-01-13,1100,Wholesale Sales,Wholesale sale,10944.536084,Actual,
2023-01-13,1150,Marketing / Ecommerce,DTC sale,12665.552015,Actual,
2023-01-13,1150,Marketing / Ecommerce,Processor settlement,-17380.991456,Actual,
2023-01-13,1200,Supply Chain / Operations,COGS on shipment,-10431.047334,Actual,
2023-01-13,1200,Supply Chain / Operations,Return to stock,75.00544,Actual,
2023-01-13,2200,Finance,Refund paid,245.695068,Actual,
2023-01-13,2200,Finance,Returns reserve,-861.345772,Actual,
2023-01-13,4000,Marketing / Ecommerce,DTC sale,-12275.991361,Actual,
2023-01-13,4010,Wholesale Sales,Wholesale sale,-11251.885652,Actual,
2023-01-13,4020,Marketing / Ecommerce,DTC sale,-389.560654,Actual,
2023-01-13,4110,Marketing / Ecommerce,Returns reserve,861.345772,Actual,
2023-01-13,4130,Wholesale Sales,Wholesale sale,138.307305,Actual,
2023-01-13,4140,Wholesale Sales,Wholesale sale,92.20487,Actual,
2023-01-13,4150,Wholesale Sales,Wholesale sale,76.837392,Actual,
2023-01-13,5000,Supply Chain / Operations,COGS on shipment,8136.21692,Actual,
2023-01-13,5000,Supply Chain / Operations,Return to stock,-75.00544,Actual,
2023-01-13,5010,Supply Chain / Operations,COGS on shipment,1251.72568,Actual,
2023-01-13,5020,Supply Chain / Operations,COGS on shipment,1043.104733,Actual,
2023-01-13,5100,Supply Chain / Operations,DTC delivery cost,1131.0,Actual,
2023-01-13,5110,Supply Chain / Operations,Wholesale delivery cost,197.00165,Actual,
2023-01-13,5200,Supply Chain / Operations,DTC delivery cost,507.0,Actual,
2023-01-13,5210,Supply Chain / Operations,Wholesale delivery cost,251.1,Actual,
2023-01-14,1000,Finance,DTC delivery cost,-1501.5,Actual,
2023-01-14,1000,Finance,Processor settlement,15130.020034,Actual,
2023-01-14,1000,Finance,Refund paid,-151.682057,Actual,
2023-01-14,1150,Marketing / Ecommerce,DTC sale,11494.920222,Actual,
2023-01-14,1150,Marketing / Ecommerce,Processor settlement,-15130.020034,Actual,
2023-01-14,1200,Supply Chain / Operations,COGS on shipment,-3149.610854,Actual,
2023-01-14,1200,Supply Chain / Operations,Return to stock,60.004352,Actual,
2023-01-14,2200,Finance,Refund paid,151.682057,Actual,
2023-01-14,2200,Finance,Returns reserve,-618.205271,Actual,
2023-01-14,4000,Marketing / Ecommerce,DTC sale,-11128.2749,Actual,
2023-01-14,4020,Marketing / Ecommerce,DTC sale,-366.645321,Actual,
2023-01-14,4110,Marketing / Ecommerce,Returns reserve,618.205271,Actual,
2023-01-14,5000,Supply Chain / Operations,COGS on shipment,2456.696466,Actual,
2023-01-14,5000,Supply Chain / Operations,Return to stock,-60.004352,Actual,
2023-01-14,5010,Supply Chain / Operations,COGS on shipment,377.953302,Actual,
2023-01-14,5020,Supply Chain / Operations,COGS on shipment,314.961085,Actual,
2023-01-14,5100,Supply Chain / Operations,DTC delivery cost,1036.75,Actual,
2023-01-14,5200,Supply Chain / Operations,DTC delivery cost,464.75,Actual,
2023-01-15,1000,Finance,DTC delivery cost,-2068.5,Actual,
2023-01-15,1000,Finance,Processor settlement,13679.368862,Actual,
2023-01-15,1000,Finance,Refund paid,-578.566286,Actual,
2023-01-15,1000,Finance,Wholesale delivery cost,-339.870197,Actual,
2023-01-15,1100,Wholesale Sales,Wholesale sale,8931.677592,Actual,
2023-01-15,1150,Marketing / Ecommerce,DTC sale,16506.754746,Actual,
2023-01-15,1150,Marketing / Ecommerce,Processor settlement,-13679.368862,Actual,
2023-01-15,1200,Supply Chain / Operations,COGS on shipment,-9648.037,Actual,
2023-01-15,1200,Supply Chain / Operations,Return to stock,165.011968,Actual,
2023-01-15,2200,Finance,Refund paid,578.566286,Actual,
2023-01-15,2200,Finance,Returns reserve,-2438.942791,Actual,
2023-01-15,4000,Marketing / Ecommerce,DTC sale,-16042.719262,Actual,
2023-01-15,4010,Wholesale Sales,Wholesale sale,-9071.161614,Actual,
2023-01-15,4020,Marketing / Ecommerce,DTC sale,-464.035485,Actual,
2023-01-15,4110,Marketing / Ecommerce,Returns reserve,1731.478268,Actual,
2023-01-15,4120,Wholesale Sales,Returns reserve,707.464523,Actual,
2023-01-15,4130,Wholesale Sales,Wholesale sale,62.76781,Actual,
2023-01-15,4140,Wholesale Sales,Wholesale sale,41.845206,Actual,
2023-01-15,4150,Wholesale Sales,Wholesale sale,34.871005,Actual,
2023-01-15,5000,Supply Chain / Operations,COGS on shipment,7525.46886,Actual,
2023-01-15,5000,Supply Chain / Operations,Return to stock,-165.011968,Actual,
2023-01-15,5010,Supply Chain / Operations,COGS on shipment,1157.76444,Actual,
2023-01-15,5020,Supply Chain / Operations,COGS on shipment,964.8037,Actual,
2023-01-15,5100,Supply Chain / Operations,DTC delivery cost,1428.25,Actual,
2023-01-15,5110,Supply Chain / Operations,Wholesale delivery cost,160.770197,Actual,
2023-01-15,5200,Supply Chain / Operations,DTC delivery cost,640.25,Actual,
2023-01-15,5210,Supply Chain / Operations,Wholesale delivery cost,179.1,Actual,
2023-01-16,1000,Finance,DTC delivery cost,-1680.0,Actual,
2023-01-16,1000,Finance,Processor settlement,12665.552015,Actual,
2023-01-16,1000,Finance,Refund paid,-521.032989,Actual,
2023-01-16,1000,Finance,Wholesale delivery cost,-335.869652,Actual,
2023-01-16,1100,Wholesale Sales,Wholesale sale,8734.425099,Actual,
2023-01-16,1150,Marketing / Ecommerce,DTC sale,14593.416278,Actual,
2023-01-16,1150,Marketing / Ecommerce,Processor settlement,-12665.552015,Actual,
2023-01-16,1200,Supply Chain / Operations,COGS on shipment,-9566.144806,Actual,
2023-01-16,1200,Supply Chain / Operations,Return to stock,165.011968,Actual,
2023-01-16,2200,Finance,Refund paid,521.032989,Actual,
2023-01-16,2200,Finance,Returns reserve,-1031.654335,Actual,
2023-01-16,4000,Marketing / Ecommerce,DTC sale,-14272.601622,Actual,
2023-01-16,4010,Wholesale Sales,Wholesale sale,-8931.036718,Actual,
2023-01-16,4020,Marketing / Ecommerce,DTC sale,-320.814656,Actual,
2023-01-16,4110,Marketing / Ecommerce,Returns reserve,939.044107,Actual,
2023-01-16,4120,Wholesale Sales,Returns reserve,92.610229,Actual,
2023-01-16,4130,Wholesale Sales,Wholesale sale,88.475228,Actual,
2023-01-16,4140,Wholesale Sales,Wholesale sale,58.983486,Actual,
2023-01-16,4150,Wholesale Sales,Wholesale sale,49.152905,Actual,
2023-01-16,5000,Supply Chain / Operations,COGS on shipment,7461.592949,Actual,
2023-01-16,5000,Supply Chain / Operations,Return to stock,-165.011968,Actual,
2023-01-16,5010,Supply Chain / Operations,COGS on shipment,1147.937377,Actual,
2023-01-16,5020,Supply Chain / Operations,COGS on shipment,956.614481,Actual,
2023-01-16,5100,Supply Chain / Operations,DTC delivery cost,1160.0,Actual,
2023-01-16,5110,Supply Chain / Operations,Wholesale delivery cost,157.219652,Actual,
2023-01-16,5200,Supply Chain / Operations,DTC delivery cost,520.0,Actual,
2023-01-16,5210,Supply Chain / Operations,Wholesale delivery cost,178.65,Actual,
2023-01-17,1000,Finance,DTC delivery cost,-1942.5,Actual,
2023-01-17,1000,Finance,Processor settlement,11494.920222,Actual,
2023-01-17,1000,Finance,Refund paid,-293.812255,Actual,
2023-01-17,1000,Finance,Wholesale delivery cost,-666.909033,Actual,
2023-01-17,1100,Wholesale Sales,Wholesale sale,16225.501813,Actual,
2023-01-17,1150,Marketing / Ecommerce,DTC sale,14257.035188,Actual,
2023-01-17,1150,Marketing / Ecommerce,Processor settlement,-11494.920222,Actual,
2023-01-17,1200,Supply Chain / Operations,COGS on shipment,-16063.23178,Actual,
2023-01-17,1200,Supply Chain / Operations,Return to stock,90.006528,Actual,
2023-01-17,2200,Finance,Refund paid,293.812255,Actual,
2023-01-17,2200,Finance,Returns reserve,-1344.331752,Actual,
2023-01-17,4000,Marketing / Ecommerce,DTC sale,-13787.27087,Actual,
2023-01-17,4010,Wholesale Sales,Wholesale sale,-17122.521461,Actual,
2023-01-17,4020,Marketing / Ecommerce,DTC sale,-469.764318,Actual,
2023-01-17,4110,Marketing / Ecommerce,Returns reserve,1344.331752,Actual,
2023-01-17,4130,Wholesale Sales,Wholesale sale,403.658841,Actual,
2023-01-17,4140,Wholesale Sales,Wholesale sale,269.105894,Actual,
2023-01-17,4150,Wholesale Sales,Wholesale sale,224.254912,Actual,
2023-01-17,5000,Supply Chain / Operations,COGS on shipment,12529.320788,Actual,
2023-01-17,5000,Supply Chain / Operations,Return to stock,-90.006528,Actual,
2023-01-17,5010,Supply Chain / Operations,COGS on shipment,1927.587814,Actual,
2023-01-17,5020,Supply Chain / Operations,COGS on shipment,1606.323178,Actual,
2023-01-17,5100,Supply Chain / Operations,DTC delivery cost,1341.25,Actual,
2023-01-17,5110,Supply Chain / Operations,Wholesale delivery cost,292.059033,Actual,
2023-01-17,5200,Supply Chain / Operations,DTC delivery cost,601.25,Actual,
2023-01-17,5210,Supply Chain / Operations,Wholesale delivery cost,374.85,Actual,
