month,scenario_name,fiscal_year,dtc_revenue,wholesale_revenue,revenue,gross_profit,gross_margin,payment_processing,marketing,payroll,fixed_costs,bad_debt,ebitda,receivables,processor_receivable,inventory,supplier_advances,accounts_payable,working_capital,capex,version_name
2027-04-01,Balanced Base,2027,55814963,44004840,1038125.946,43894383,0.439736,16670.733264,125772.95115,278400.0,105000.0,1760.1936,-92206.448062,753507.534247,56728.90176,2105931.856993,568601.601388,442245.689969,304252420,4166.666667,Budget
2027-05-01,Balanced Base,2027,52093965,38504235,942221.28,39819795,0.439521,15559.351046,114153.732,278400.0,105000.0,1540.1694,-121113.511081,753507.534247,52946.974976,2183929.333178,589660.919958,458625.159967,312141960,4166.666667,Budget
2027-06-01,Balanced Base,2027,59535960,38504235,1019618.028,43108059,0.439698,17782.115481,123530.6457,278400.0,105000.0,1540.1694,-98979.232025,753507.534247,60510.828544,2242427.440317,605455.408886,470909.762467,319099145,4166.666667,Budget
2027-07-01,Balanced Base,2027,48372968,44004840,960729.198,40606119,0.439566,14447.968829,116396.03745,278400.0,105000.0,1760.1936,-114340.727118,753507.534247,49165.048192,2242427.440317,605455.408886,470909.762467,317964567,4166.666667,Budget
2027-08-01,Balanced Base,2027,59535960,55006050,1191236.904,50399427,0.440008,17782.115481,144322.9326,278400.0,105000.0,2200.242,-45459.461551,753507.534247,60510.828544,2183929.333178,589660.919958,458625.159967,312898346,4166.666667,Budget
2027-09-01,Balanced Base,2027,59535960,60506655,1248443.196,52829883,0.440093,17782.115481,151253.6949,278400.0,105000.0,2420.2662,-27619.53806,753507.534247,60510.828544,2047433.749854,552807.112461,429961.087469,298429814,4166.666667,Budget
2027-10-01,Balanced Base,2027,59535960,55006050,1191236.904,50399427,0.440008,17782.115481,144322.9326,278400.0,105000.0,2200.242,-45459.461551,753507.534247,60510.828544,1910938.166531,515953.304963,401297.014971,283961282,4166.666667,Budget
2027-11-01,Balanced Base,2027,111629925,44004840,1618601.556,64821128,0.416495,33341.466528,196099.8039,278400.0,105000.0,1760.1936,34954.207514,753507.534247,113457.80352,1715944.476068,463305.008538,360348.339974,268586648,4166.666667,Budget
2027-12-01,Balanced Base,2027,89303940,33003630,1271998.728,51873738,0.424125,26673.173222,154107.5382,278400.0,105000.0,1320.1452,-48634.018941,753507.534247,90766.242816,1696445.107022,458040.178896,356253.472475,264250559,4166.666667,Budget
2028-01-01,Balanced Base,2028,52268043,42463376,985206.760824,41735759,0.440569,15602.578957,113677.703172,299500.0,108333.333333,1698.535054,-126312.747411,814366.121589,53094.0754,1950033.477086,526509.038813,409507.030188,293449568,4166.666667,Budget
2028-02-01,Balanced Base,2028,48247424,54595770,1069569.216144,45324205,0.440712,14402.380576,123411.832632,299500.0,108333.333333,2183.830783,-98372.899875,814366.121589,49009.915754,2052666.817985,554220.040856,431060.031777,303920286,4166.666667,Budget
2028-03-01,Balanced Base,2028,60309280,54595770,1195012.519272,50660069,0.440886,18002.97572,137886.059916,299500.0,108333.333333,2183.830783,-61677.730641,814366.121589,61262.394692,2155300.158884,581931.042899,452613.033366,316024668,4166.666667,Budget
2028-04-01,Balanced Base,2028,60309280,48529573,1131924.074424,47976535,0.440803,18002.97572,130606.623972,299500.0,108333.333333,1941.182918,-81763.515948,814366.121589,61262.394692,2216880.163424,598557.644124,465544.834319,322552149,4166.666667,Budget
2028-05-01,Balanced Base,2028,56288662,42463376,1027021.1952,43514380,0.440643,16802.777339,118502.4456,299500.0,108333.333333,1698.535054,-114081.024333,814366.121589,57178.235046,2298986.836143,620726.445759,482787.23559,330847040,4166.666667,Budget
2028-06-01,Balanced Base,2028,64329899,42463376,1110650.063952,47071622,0.440773,19203.174101,128151.930456,299500.0,108333.333333,1698.535054,-89617.578177,814366.121589,65346.554338,2360566.840683,637353.046984,495719.036543,338191353,4166.666667,Budget
2028-07-01,Balanced Base,2028,52268043,48529573,1048295.205672,44419292,0.440678,15602.578957,120957.139116,299500.0,108333.333333,1941.182918,-106226.962104,814366.121589,53094.0754,2360566.840683,637353.046984,495719.036543,336966105,4166.666667,Budget
2028-08-01,Balanced Base,2028,64329899,60661966,1299915.398496,55122224,0.441006,19203.174101,149990.238288,299500.0,108333.333333,2426.478648,-29360.222255,814366.121589,65346.554338,2298986.836143,620726.445759,482787.23559,331663872,4166.666667,Budget
2028-09-01,Balanced Base,2028,64329899,66728163,1363003.843344,57805758,0.44107,19203.174101,157269.674232,299500.0,108333.333333,2669.126513,-9274.436948,814366.121589,65346.554338,2155300.158884,581931.042899,452613.033366,316433084,4166.666667,Budget
2028-10-01,Balanced Base,2028,64329899,60661966,1299915.398496,55122224,0.441006,19203.174101,149990.238288,299500.0,108333.333333,2426.478648,-29360.222255,814366.121589,65346.554338,2011613.481625,543135.640039,422438.831141,301202297,4166.666667,Budget
2028-11-01,Balanced Base,2028,120618561,48529573,1759140.590064,70596299,0.417364,36005.95144,202977.760392,299500.0,108333.333333,1941.182918,59492.956061,814366.121589,122524.789384,1806346.799827,487713.635953,379332.827964,285161852,4166.666667,Budget
2028-12-01,Balanced Base,2028,96494849,36397180,1382077.094112,56490787,0.425088,28804.761152,159470.433936,299500.0,108333.333333,1455.887189,-33962.812366,814366.121589,98019.831507,1785820.131647,482171.435545,375022.227646,280535529,4166.666667,Budget
2026-01-01,Balanced Base,2026,44357820,34592040,801341.079,34550746,0.437629,13256.468249,104213.8152,258533.333333,100833.333333,1383.6816,-134703.870783,676947.945205,45110.486329,1746455.819909,471543.071375,366755.722181,257330160,4166.666667,Prior Forecast
2026-02-01,Balanced Base,2026,40945680,44475480,867024.774,37405377,0.437894,12236.739922,112755.9312,258533.333333,100833.333333,1779.0192,-113765.854094,676947.945205,41640.448919,1838374.547272,496361.127764,386058.654927,266726541,4166.666667,Prior Forecast
2026-03-01,Balanced Base,2026,51182100,44475480,970924.437,41920885,0.438239,15295.924903,126268.0056,258533.333333,100833.333333,1779.0192,-84753.279054,676947.945205,52050.561149,1930293.274636,521179.184152,405361.587674,277510938,4166.666667,Prior Forecast
2026-04-01,Balanced Base,2026,51182100,39533760,920765.979,39740985,0.438082,15295.924903,119744.9352,258533.333333,100833.333333,1581.3504,-100057.716571,676947.945205,52050.561149,1985444.511054,536070.017985,416943.347321,283356969,4166.666667,Prior Forecast
2026-05-01,Balanced Base,2026,47769960,34592040,835974.3,36055915,0.437774,14276.196576,108717.84,258533.333333,100833.333333,1383.6816,-125033.012436,676947.945205,48580.523739,2058979.492945,555924.463095,432385.693518,290804673,4166.666667,Prior Forecast
2026-06-01,Balanced Base,2026,54594240,34592040,905240.742,39066254,0.43803,16315.65323,117725.8896,258533.333333,100833.333333,1383.6816,-105691.295742,676947.945205,55520.598559,2114130.729363,570815.296928,443967.453166,297344712,4166.666667,Prior Forecast
2026-07-01,Balanced Base,2026,44357820,39533760,851499.537,36730646,0.437835,13256.468249,110736.8856,258533.333333,100833.333333,1581.3504,-119399.433265,676947.945205,45110.486329,2114130.729363,570815.296928,443967.453166,296303700,4166.666667,Prior Forecast
2026-08-01,Balanced Base,2026,54594240,49417200,1055716.116,45605954,0.438471,16315.65323,137295.1008,258533.333333,100833.333333,1976.688,-59777.983189,676947.945205,55520.598559,2058979.492945,555924.463095,432385.693518,291498681,4166.666667,Prior Forecast
2026-09-01,Balanced Base,2026,54594240,54358920,1105874.574,47785855,0.438591,16315.65323,143818.1712,258533.333333,100833.333333,2174.3568,-44473.545672,676947.945205,55520.598559,1930293.274636,521179.184152,405361.587674,277857941,4166.666667,Prior Forecast
2026-10-01,Balanced Base,2026,54594240,49417200,1055716.116,45605954,0.438471,16315.65323,137295.1008,258533.333333,100833.333333,1976.688,-59777.983189,676947.945205,55520.598559,1801607.056327,486433.905208,378337.481829,264217202,4166.666667,Prior Forecast
2026-11-01,Balanced Base,2026,102364200,39533760,1440264.294,58912972,0.415178,30591.849806,187305.3072,258533.333333,100833.333333,1581.3504,10438.815575,676947.945205,104101.122297,1617769.6016,436797.792432,339731.616336,249588485,4166.666667,Prior Forecast
2026-12-01,Balanced Base,2026,81891360,29650320,1132148.052,47143040,0.42265,24473.479845,147235.0176,258533.333333,100833.333333,1186.0128,-61743.235317,676947.945205,83280.897838,1599385.856127,431834.181154,335871.029787,245557785,4166.666667,Prior Forecast
2027-01-01,Balanced Base,2027,48372968,38504235,881803.605375,38175663,0.439421,14447.968829,109465.27515,278400.0,105000.0,1540.1694,-129003.231124,753507.534247,49165.048192,1852440.059392,500158.816036,389012.412472,276625905,4166.666667,Prior Forecast
2027-02-01,Balanced Base,2027,44651970,49505445,955697.76225,41392443,0.439609,13336.586611,118638.3429,278400.0,105000.0,1980.2178,-104982.17529,753507.534247,45383.121408,1949936.904623,526482.964248,409486.749971,286582377,4166.666667,Prior Forecast
2027-03-01,Balanced Base,2027,55814963,49505445,1069002.136125,46324839,0.439847,16670.733264,132703.71345,278400.0,105000.0,1980.2178,-72578.86773,753507.534247,56728.90176,2047433.749854,552807.112461,429961.087469,298051621,4166.666667,Prior Forecast
2027-04-01,Balanced Base,2027,55814963,44004840,1013170.995375,43894383,0.439736,16670.733264,125772.95115,278400.0,105000.0,1760.1936,-89989.946907,753507.534247,56728.90176,2105931.856993,568601.601388,442245.689969,304252420,4166.666667,Prior Forecast
2027-05-01,Balanced Base,2027,52093965,38504235,919571.73,39819795,0.439521,15559.351046,114153.732,278400.0,105000.0,1540.1694,-118202.128603,753507.534247,52946.974976,2183929.333178,589660.919958,458625.159967,312141960,4166.666667,Prior Forecast
2027-06-01,Balanced Base,2027,59535960,38504235,995107.97925,43108059,0.439698,17782.115481,123530.6457,278400.0,105000.0,1540.1694,-96599.923563,753507.534247,60510.828544,2242427.440317,605455.408886,470909.762467,319099145,4166.666667,Prior Forecast
2027-07-01,Balanced Base,2027,48372968,44004840,937634.746125,40606119,0.439566,14447.968829,116396.03745,278400.0,105000.0,1760.1936,-111592.151947,753507.534247,49165.048192,2242427.440317,605455.408886,470909.762467,317964567,4166.666667,Prior Forecast
2027-08-01,Balanced Base,2027,59535960,55006050,1162601.4015,50399427,0.440008,17782.115481,144322.9326,278400.0,105000.0,2200.242,-44366.686033,753507.534247,60510.828544,2183929.333178,589660.919958,458625.159967,312898346,4166.666667,Prior Forecast
2027-09-01,Balanced Base,2027,59535960,60506655,1218432.54225,52829883,0.440093,17782.115481,151253.6949,278400.0,105000.0,2420.2662,-26955.606857,753507.534247,60510.828544,2047433.749854,552807.112461,429961.087469,298429814,4166.666667,Prior Forecast
2027-10-01,Balanced Base,2027,59535960,55006050,1162601.4015,50399427,0.440008,17782.115481,144322.9326,278400.0,105000.0,2200.242,-44366.686033,753507.534247,60510.828544,1910938.166531,515953.304963,401297.014971,283961282,4166.666667,Prior Forecast
2027-11-01,Balanced Base,2027,111629925,44004840,1579692.86475,64821128,0.416495,33341.466528,196099.8039,278400.0,105000.0,1760.1936,34113.962141,753507.534247,113457.80352,1715944.476068,463305.008538,360348.339974,268586648,4166.666667,Prior Forecast
2027-12-01,Balanced Base,2027,89303940,33003630,1241421.8355,51873738,0.424125,26673.173222,154107.5382,278400.0,105000.0,1320.1452,-47464.931947,753507.534247,90766.242816,1696445.107022,458040.178896,356253.472475,264250559,4166.666667,Prior Forecast
2028-01-01,Balanced Base,2028,52268043,42463376,961523.905997,41735759,0.440569,15602.578957,113677.703172,299500.0,108333.333333,1698.535054,-123276.383291,814366.121589,53094.0754,1950033.477086,526509.038813,409507.030188,293449568,4166.666667,Prior Forecast
2028-02-01,Balanced Base,2028,48247424,54595770,1043858.417679,45324205,0.440712,14402.380576,123411.832632,299500.0,108333.333333,2183.830783,-96008.166705,814366.121589,49009.915754,2052666.817985,554220.040856,431060.031777,303920286,4166.666667,Prior Forecast
2028-03-01,Balanced Base,2028,60309280,54595770,1166286.25679,50660069,0.440886,18002.97572,137886.059916,299500.0,108333.333333,2183.830783,-60195.092885,814366.121589,61262.394692,2155300.158884,581931.042899,452613.033366,316024668,4166.666667,Prior Forecast
2028-04-01,Balanced Base,2028,60309280,48529573,1104714.361097,47976535,0.440803,18002.97572,130606.623972,299500.0,108333.333333,1941.182918,-79798.046815,814366.121589,61262.394692,2216880.163424,598557.644124,465544.834319,322552149,4166.666667,Prior Forecast
2028-05-01,Balanced Base,2028,56288662,42463376,1002333.1857,43514380,0.440643,16802.777339,118502.4456,299500.0,108333.333333,1698.535054,-111338.692017,814366.121589,57178.235046,2298986.836143,620726.445759,482787.23559,330847040,4166.666667,Prior Forecast
2028-06-01,Balanced Base,2028,64329899,42463376,1083951.745107,47071622,0.440773,19203.174101,128151.930456,299500.0,108333.333333,1698.535054,-87463.309471,814366.121589,65346.554338,2360566.840683,637353.046984,495719.036543,338191353,4166.666667,Prior Forecast
2028-07-01,Balanced Base,2028,52268043,48529573,1023095.80169,44419292,0.440678,15602.578957,120957.139116,299500.0,108333.333333,1941.182918,-103673.429361,814366.121589,53094.0754,2360566.840683,637353.046984,495719.036543,336966105,4166.666667,Prior Forecast
2028-08-01,Balanced Base,2028,64329899,60661966,1268667.432186,55122224,0.441006,19203.174101,149990.238288,299500.0,108333.333333,2426.478648,-28654.447682,814366.121589,65346.554338,2298986.836143,620726.445759,482787.23559,331663872,4166.666667,Prior Forecast
2028-09-01,Balanced Base,2028,64329899,66728163,1330239.327879,57805758,0.44107,19203.174101,157269.674232,299500.0,108333.333333,2669.126513,-9051.493752,814366.121589,65346.554338,2155300.158884,581931.042899,452613.033366,316433084,4166.666667,Prior Forecast
2028-10-01,Balanced Base,2028,64329899,60661966,1268667.432186,55122224,0.441006,19203.174101,149990.238288,299500.0,108333.333333,2426.478648,-28654.447682,814366.121589,65346.554338,2011613.481625,543135.640039,422438.831141,301202297,4166.666667,Prior Forecast
2028-11-01,Balanced Base,2028,120618561,48529573,1716853.556649,70596299,0.417364,36005.95144,202977.760392,299500.0,108333.333333,1941.182918,58062.836925,814366.121589,122524.789384,1806346.799827,487713.635953,379332.827964,285161852,4166.666667,Prior Forecast
2028-12-01,Balanced Base,2028,96494849,36397180,1348854.087042,56490787,0.425088,28804.761152,159470.433936,299500.0,108333.333333,1455.887189,-33146.398607,814366.121589,98019.831507,1785820.131647,482171.435545,375022.227646,280535529,4166.666667,Prior Forecast
2026-01-01,Balanced Base,2026,44357820,34592040,789498.6,34550746,0.437629,13256.468249,104213.8152,258533.333333,100833.333333,1383.6816,-132713.173185,676947.945205,45110.486329,1746455.819909,471543.071375,366755.722181,257330160,4166.666667,Latest Forecast
2026-02-01,Balanced Base,2026,40945680,44475480,854211.6,37405377,0.437894,12236.739922,112755.9312,258533.333333,100833.333333,1779.0192,-112084.585314,676947.945205,41640.448919,1838374.547272,496361.127764,386058.654927,266726541,4166.666667,Latest Forecast
2026-03-01,Balanced Base,2026,51182100,44475480,956575.8,41920885,0.438239,15295.924903,126268.0056,258533.333333,100833.333333,1779.0192,-83500.767541,676947.945205,52050.561149,1930293.274636,521179.184152,405361.587674,277510938,4166.666667,Latest Forecast
2026-04-01,Balanced Base,2026,51182100,39533760,907158.6,39740985,0.438082,15295.924903,119744.9352,258533.333333,100833.333333,1581.3504,-98579.031105,676947.945205,52050.561149,1985444.511054,536070.017985,416943.347321,283356969,4166.666667,Latest Forecast
2026-05-01,Balanced Base,2026,47769960,34592040,823620.0,36055915,0.437774,14276.196576,108717.84,258533.333333,100833.333333,1383.6816,-123185.233927,676947.945205,48580.523739,2058979.492945,555924.463095,432385.693518,290804673,4166.666667,Latest Forecast
2026-06-01,Balanced Base,2026,54594240,34592040,891862.8,39066254,0.43803,16315.65323,117725.8896,258533.333333,100833.333333,1383.6816,-104129.355411,676947.945205,55520.598559,2114130.729363,570815.296928,443967.453166,297344712,4166.666667,Latest Forecast
2026-07-01,Balanced Base,2026,44357820,39533760,838915.8,36730646,0.437835,13256.468249,110736.8856,258533.333333,100833.333333,1581.3504,-117634.909621,676947.945205,45110.486329,2114130.729363,570815.296928,443967.453166,296303700,4166.666667,Latest Forecast
2026-08-01,Balanced Base,2026,54594240,49417200,1040114.4,45605954,0.438471,16315.65323,137295.1008,258533.333333,100833.333333,1976.688,-58894.564718,676947.945205,55520.598559,2058979.492945,555924.463095,432385.693518,291498681,4166.666667,Latest Forecast
2026-09-01,Balanced Base,2026,54594240,54358920,1089531.6,47785855,0.438591,16315.65323,143818.1712,258533.333333,100833.333333,2174.3568,-43816.301154,676947.945205,55520.598559,1930293.274636,521179.184152,405361.587674,277857941,4166.666667,Latest Forecast
2026-10-01,Balanced Base,2026,54594240,49417200,1040114.4,45605954,0.438471,16315.65323,137295.1008,258533.333333,100833.333333,1976.688,-58894.564718,676947.945205,55520.598559,1801607.056327,486433.905208,378337.481829,264217202,4166.666667,Latest Forecast
2026-11-01,Balanced Base,2026,102364200,39533760,1418979.6,58912972,0.415178,30591.849806,187305.3072,258533.333333,100833.333333,1581.3504,10284.547364,676947.945205,104101.122297,1617769.6016,436797.792432,339731.616336,249588485,4166.666667,Latest Forecast
2026-12-01,Balanced Base,2026,81891360,29650320,1115416.8,47143040,0.42265,24473.479845,147235.0176,258533.333333,100833.333333,1186.0128,-60830.773712,676947.945205,83280.897838,1599385.856127,431834.181154,335871.029787,245557785,4166.666667,Latest Forecast
2027-01-01,Balanced Base,2027,48372968,38504235,868772.025,38175663,0.439421,14447.968829,109465.27515,278400.0,105000.0,1540.1694,-127096.779432,753507.534247,49165.048192,1852440.059392,500158.816036,389012.412472,276625905,4166.666667,Latest Forecast
2027-02-01,Balanced Base,2027,44651970,49505445,941574.15,41392443,0.439609,13336.586611,118638.3429,278400.0,105000.0,1980.2178,-103430.714572,753507.534247,45383.121408,1949936.904623,526482.964248,409486.749971,286582377,4166.666667,Latest Forecast
2027-03-01,Balanced Base,2027,55814963,49505445,1053204.075,46324839,0.439847,16670.733264,132703.71345,278400.0,105000.0,1980.2178,-71506.273626,753507.534247,56728.90176,2047433.749854,552807.112461,429961.087469,298051621,4166.666667,Latest Forecast
2027-04-01,Balanced Base,2027,55814963,44004840,998198.025,43894383,0.439736,16670.733264,125772.95115,278400.0,105000.0,1760.1936,-88660.046213,753507.534247,56728.90176,2105931.856993,568601.601388,442245.689969,304252420,4166.666667,Latest Forecast
2027-05-01,Balanced Base,2027,52093965,38504235,905982.0,39819795,0.439521,15559.351046,114153.732,278400.0,105000.0,1540.1694,-116455.299117,753507.534247,52946.974976,2183929.333178,589660.919958,458625.159967,312141960,4166.666667,Latest Forecast
2027-06-01,Balanced Base,2027,59535960,38504235,980401.95,43108059,0.439698,17782.115481,123530.6457,278400.0,105000.0,1540.1694,-95172.338486,753507.534247,60510.828544,2242427.440317,605455.408886,470909.762467,319099145,4166.666667,Latest Forecast
2027-07-01,Balanced Base,2027,48372968,44004840,923778.075,40606119,0.439566,14447.968829,116396.03745,278400.0,105000.0,1760.1936,-109943.006844,753507.534247,49165.048192,2242427.440317,605455.408886,470909.762467,317964567,4166.666667,Latest Forecast
2027-08-01,Balanced Base,2027,59535960,55006050,1145420.1,50399427,0.440008,17782.115481,144322.9326,278400.0,105000.0,2200.242,-43711.020722,753507.534247,60510.828544,2183929.333178,589660.919958,458625.159967,312898346,4166.666667,Latest Forecast
2027-09-01,Balanced Base,2027,59535960,60506655,1200426.15,52829883,0.440093,17782.115481,151253.6949,278400.0,105000.0,2420.2662,-26557.248135,753507.534247,60510.828544,2047433.749854,552807.112461,429961.087469,298429814,4166.666667,Latest Forecast
2027-10-01,Balanced Base,2027,59535960,55006050,1145420.1,50399427,0.440008,17782.115481,144322.9326,278400.0,105000.0,2200.242,-43711.020722,753507.534247,60510.828544,1910938.166531,515953.304963,401297.014971,283961282,4166.666667,Latest Forecast
2027-11-01,Balanced Base,2027,111629925,44004840,1556347.65,64821128,0.416495,33341.466528,196099.8039,278400.0,105000.0,1760.1936,33609.814917,753507.534247,113457.80352,1715944.476068,463305.008538,360348.339974,268586648,4166.666667,Latest Forecast
2027-12-01,Balanced Base,2027,89303940,33003630,1223075.7,51873738,0.424125,26673.173222,154107.5382,278400.0,105000.0,1320.1452,-46763.479751,753507.534247,90766.242816,1696445.107022,458040.178896,356253.472475,264250559,4166.666667,Latest Forecast
2028-01-01,Balanced Base,2028,52268043,42463376,947314.1931,41735759,0.440569,15602.578957,113677.703172,299500.0,108333.333333,1698.535054,-121454.564818,814366.121589,53094.0754,1950033.477086,526509.038813,409507.030188,293449568,4166.666667,Latest Forecast
2028-02-01,Balanced Base,2028,48247424,54595770,1028431.9386,45324205,0.440712,14402.380576,123411.832632,299500.0,108333.333333,2183.830783,-94589.326803,814366.121589,49009.915754,2052666.817985,554220.040856,431060.031777,303920286,4166.666667,Latest Forecast
2028-03-01,Balanced Base,2028,60309280,54595770,1149050.4993,50660069,0.440886,18002.97572,137886.059916,299500.0,108333.333333,2183.830783,-59305.510231,814366.121589,61262.394692,2155300.158884,581931.042899,452613.033366,316024668,4166.666667,Latest Forecast
2028-04-01,Balanced Base,2028,60309280,48529573,1088388.5331,47976535,0.440803,18002.97572,130606.623972,299500.0,108333.333333,1941.182918,-78618.765335,814366.121589,61262.394692,2216880.163424,598557.644124,465544.834319,322552149,4166.666667,Latest Forecast
2028-05-01,Balanced Base,2028,56288662,42463376,987520.38,43514380,0.440643,16802.777339,118502.4456,299500.0,108333.333333,1698.535054,-109693.292628,814366.121589,57178.235046,2298986.836143,620726.445759,482787.23559,330847040,4166.666667,Latest Forecast
2028-06-01,Balanced Base,2028,64329899,42463376,1067932.7538,47071622,0.440773,19203.174101,128151.930456,299500.0,108333.333333,1698.535054,-86170.748247,814366.121589,65346.554338,2360566.840683,637353.046984,495719.036543,338191353,4166.666667,Latest Forecast
2028-07-01,Balanced Base,2028,52268043,48529573,1007976.1593,44419292,0.440678,15602.578957,120957.139116,299500.0,108333.333333,1941.182918,-102141.309715,814366.121589,53094.0754,2360566.840683,637353.046984,495719.036543,336966105,4166.666667,Latest Forecast
2028-08-01,Balanced Base,2028,64329899,60661966,1249918.6524,55122224,0.441006,19203.174101,149990.238288,299500.0,108333.333333,2426.478648,-28230.982938,814366.121589,65346.554338,2298986.836143,620726.445759,482787.23559,331663872,4166.666667,Latest Forecast
2028-09-01,Balanced Base,2028,64329899,66728163,1310580.6186,57805758,0.44107,19203.174101,157269.674232,299500.0,108333.333333,2669.126513,-8917.727835,814366.121589,65346.554338,2155300.158884,581931.042899,452613.033366,316433084,4166.666667,Latest Forecast
2028-10-01,Balanced Base,2028,64329899,60661966,1249918.6524,55122224,0.441006,19203.174101,149990.238288,299500.0,108333.333333,2426.478648,-28230.982938,814366.121589,65346.554338,2011613.481625,543135.640039,422438.831141,301202297,4166.666667,Latest Forecast
2028-11-01,Balanced Base,2028,120618561,48529573,1691481.3366,70596299,0.417364,36005.95144,202977.760392,299500.0,108333.333333,1941.182918,57204.765443,814366.121589,122524.789384,1806346.799827,487713.635953,379332.827964,285161852,4166.666667,Latest Forecast
2028-12-01,Balanced Base,2028,96494849,36397180,1328920.2828,56490787,0.425088,28804.761152,159470.433936,299500.0,108333.333333,1455.887189,-32656.550352,814366.121589,98019.831507,1785820.131647,482171.435545,375022.227646,280535529,4166.666667,Latest Forecast
2026-01-01,Wholesale Acceleration,2026,42724890,40802580,847803.8205,35751075,0.428016,12768.462195,98562.4146,267766.666667,104166.666667,1632.1032,-129296.348203,846394.027397,43449.848668,2013836.886206,543735.959276,422905.746103,302451098,4166.666667,Prior Forecast
2026-02-01,Wholesale Acceleration,2026,39438360,52460460,932773.023,39369554,0.428401,11786.272796,108440.6076,267766.666667,104166.666667,2098.4184,-102071.539711,846394.027397,40107.552617,2119828.30127,572353.641343,445163.943267,313351958,4166.666667,Prior Forecast
2026-03-01,Wholesale Acceleration,2026,49297950,52460460,1032847.8615,43631318,0.428774,14732.840995,120074.9238,267766.666667,104166.666667,2098.4184,-73614.230932,846394.027397,50134.440771,2225819.716333,600971.32341,467422.14043,325589737,4166.666667,Prior Forecast
