customer_key,acquisition_channel,is_paid_acquired,first_order_date,first_order_cohort,lifetime_order_count,geography
59,Paid social,True,2023-01-01,2023-01,4,South
60,Paid social,True,2023-01-01,2023-01,1,South
61,Affiliate / creator,True,2023-01-01,2023-01,3,South
62,Paid search,True,2023-01-01,2023-01,1,West
63,Paid search,True,2023-01-01,2023-01,1,Midwest
64,Referral,False,2023-01-01,2023-01,1,South
65,Organic,False,2023-01-01,2023-01,1,Midwest
66,Organic,False,2023-01-01,2023-01,2,Northeast
67,Retargeting,True,2023-01-01,2023-01,2,Northeast
68,Paid social,True,2023-01-01,2023-01,4,Northeast
69,Paid search,True,2023-01-01,2023-01,1,West
70,Paid social,True,2023-01-01,2023-01,1,Northeast
71,Paid social,True,2023-01-01,2023-01,3,Midwest
72,Organic,False,2023-01-01,2023-01,4,South
73,Affiliate / creator,True,2023-01-01,2023-01,2,South
74,Email / SMS,False,2023-01-01,2023-01,4,Northeast
75,Paid social,True,2023-01-01,2023-01,1,Northeast
76,Paid social,True,2023-01-01,2023-01,3,West
77,Paid social,True,2023-01-01,2023-01,2,South
78,Paid search,True,2023-01-01,2023-01,5,Midwest
79,Paid social,True,2023-01-01,2023-01,1,West
80,Paid search,True,2023-01-01,2023-01,2,Northeast
81,Paid social,True,2023-01-01,2023-01,3,Northeast
82,Paid search,True,2023-01-01,2023-01,1,Northeast
83,Paid social,True,2023-01-01,2023-01,3,Northeast
84,Paid social,True,2023-01-01,2023-01,4,West
85,Retargeting,True,2023-01-01,2023-01,1,West
86,Email / SMS,False,2023-01-01,2023-01,2,West
87,Paid social,True,2023-01-01,2023-01,1,Northeast
88,Paid social,True,2023-01-01,2023-01,2,Northeast
89,Paid social,True,2023-01-01,2023-01,1,South
90,Retargeting,True,2023-01-01,2023-01,2,Midwest
91,Paid search,True,2023-01-01,2023-01,2,South
92,Paid search,True,2023-01-01,2023-01,2,West
93,Paid social,True,2023-01-01,2023-01,2,Midwest
94,Email / SMS,False,2023-01-01,2023-01,2,Northeast
95,Paid search,True,2023-01-01,2023-01,2,Midwest
96,Paid social,True,2023-01-01,2023-01,2,South
97,Paid social,True,2023-01-01,2023-01,2,West
98,Retargeting,True,2023-01-01,2023-01,2,Northeast
99,Paid social,True,2023-01-01,2023-01,3,Midwest
100,Paid social,True,2023-01-01,2023-01,2,Midwest
101,Paid social,True,2023-01-01,2023-01,4,Northeast
102,Paid social,True,2023-01-01,2023-01,1,Midwest
103,Paid social,True,2023-01-01,2023-01,3,West
104,Retargeting,True,2023-01-01,2023-01,3,Midwest
105,Paid social,True,2023-01-01,2023-01,3,Midwest
106,Email / SMS,False,2023-01-02,2023-01,1,South
107,Organic,False,2023-01-02,2023-01,3,West
108,Paid search,True,2023-01-02,2023-01,6,West
109,Retargeting,True,2023-01-02,2023-01,2,South
110,Paid social,True,2023-01-02,2023-01,3,Northeast
111,Paid social,True,2023-01-02,2023-01,2,Midwest
112,Paid search,True,2023-01-02,2023-01,1,South
113,Paid social,True,2023-01-02,2023-01,1,West
114,Retargeting,True,2023-01-02,2023-01,6,Midwest
115,Paid social,True,2023-01-02,2023-01,2,West
116,Affiliate / creator,True,2023-01-02,2023-01,3,Northeast
117,Paid search,True,2023-01-02,2023-01,2,West
118,Paid search,True,2023-01-02,2023-01,2,Northeast
119,Paid social,True,2023-01-02,2023-01,1,South
120,Paid social,True,2023-01-02,2023-01,2,Northeast
121,Paid social,True,2023-01-02,2023-01,1,South
122,Paid search,True,2023-01-02,2023-01,2,Midwest
123,Retargeting,True,2023-01-02,2023-01,3,Midwest
124,Paid search,True,2023-01-02,2023-01,2,West
125,Paid social,True,2023-01-02,2023-01,2,West
126,Organic,False,2023-01-02,2023-01,2,Midwest
127,Email / SMS,False,2023-01-02,2023-01,3,South
128,Paid search,True,2023-01-02,2023-01,1,South
129,Paid social,True,2023-01-02,2023-01,1,West
130,Paid search,True,2023-01-02,2023-01,1,South
131,Organic,False,2023-01-02,2023-01,2,Midwest
132,Paid social,True,2023-01-02,2023-01,1,South
133,Organic,False,2023-01-02,2023-01,2,Northeast
134,Paid social,True,2023-01-02,2023-01,3,Midwest
135,Paid search,True,2023-01-02,2023-01,1,West
136,Paid social,True,2023-01-02,2023-01,2,South
137,Email / SMS,False,2023-01-02,2023-01,1,Northeast
138,Paid social,True,2023-01-02,2023-01,3,West
139,Organic,False,2023-01-02,2023-01,1,South
140,Retargeting,True,2023-01-02,2023-01,2,South
141,Affiliate / creator,True,2023-01-02,2023-01,4,South
142,Paid social,True,2023-01-02,2023-01,1,South
143,Paid social,True,2023-01-02,2023-01,2,Midwest
144,Paid social,True,2023-01-02,2023-01,3,Midwest
145,Paid social,True,2023-01-02,2023-01,2,West
146,Paid social,True,2023-01-02,2023-01,3,Midwest
147,Paid social,True,2023-01-02,2023-01,4,South
148,Paid search,True,2023-01-02,2023-01,2,West
149,Retargeting,True,2023-01-02,2023-01,3,Midwest
150,Referral,False,2023-01-02,2023-01,2,Midwest
151,Organic,False,2023-01-02,2023-01,1,West
152,Organic,False,2023-01-02,2023-01,2,Midwest
153,Paid social,True,2023-01-02,2023-01,3,Midwest
154,Paid social,True,2023-01-02,2023-01,2,Midwest
155,Paid search,True,2023-01-02,2023-01,1,West
156,Referral,False,2023-01-02,2023-01,2,West
157,Retargeting,True,2023-01-02,2023-01,1,South
158,Paid search,True,2023-01-02,2023-01,1,West
159,Referral,False,2023-01-02,2023-01,2,West
160,Paid search,True,2023-01-02,2023-01,1,South
161,Paid social,True,2023-01-02,2023-01,1,Midwest
162,Paid search,True,2023-01-02,2023-01,3,South
163,Paid social,True,2023-01-02,2023-01,2,Northeast
164,Paid social,True,2023-01-02,2023-01,1,West
165,Email / SMS,False,2023-01-02,2023-01,2,Northeast
166,Paid social,True,2023-01-02,2023-01,2,Northeast
167,Referral,False,2023-01-02,2023-01,2,West
168,Affiliate / creator,True,2023-01-02,2023-01,2,Midwest
169,Paid social,True,2023-01-02,2023-01,3,Midwest
170,Paid social,True,2023-01-02,2023-01,1,South
171,Paid social,True,2023-01-02,2023-01,4,West
172,Organic,False,2023-01-02,2023-01,3,South
173,Affiliate / creator,True,2023-01-02,2023-01,2,Midwest
174,Affiliate / creator,True,2023-01-02,2023-01,4,Midwest
175,Organic,False,2023-01-02,2023-01,1,West
176,Referral,False,2023-01-02,2023-01,1,Northeast
177,Retargeting,True,2023-01-02,2023-01,2,West
178,Paid social,True,2023-01-02,2023-01,2,Midwest
179,Paid social,True,2023-01-02,2023-01,2,West
180,Affiliate / creator,True,2023-01-02,2023-01,3,Northeast
181,Paid social,True,2023-01-02,2023-01,4,West
182,Retargeting,True,2023-01-02,2023-01,4,Northeast
183,Organic,False,2023-01-02,2023-01,3,Northeast
184,Paid search,True,2023-01-02,2023-01,2,Northeast
185,Paid social,True,2023-01-02,2023-01,2,South
186,Paid social,True,2023-01-02,2023-01,3,Northeast
187,Paid social,True,2023-01-02,2023-01,1,South
188,Paid social,True,2023-01-02,2023-01,2,Midwest
189,Paid social,True,2023-01-02,2023-01,3,Northeast
190,Paid search,True,2023-01-02,2023-01,2,South
191,Paid social,True,2023-01-02,2023-01,2,South
192,Paid search,True,2023-01-02,2023-01,3,South
193,Paid social,True,2023-01-02,2023-01,2,West
194,Paid social,True,2023-01-02,2023-01,2,South
195,Email / SMS,False,2023-01-02,2023-01,3,Midwest
196,Paid search,True,2023-01-02,2023-01,1,South
197,Referral,False,2023-01-02,2023-01,2,West
198,Paid social,True,2023-01-02,2023-01,4,South
199,Paid social,True,2023-01-02,2023-01,3,West
200,Paid social,True,2023-01-02,2023-01,2,Midwest
201,Paid social,True,2023-01-02,2023-01,3,West
202,Paid social,True,2023-01-02,2023-01,5,Midwest
203,Paid social,True,2023-01-02,2023-01,4,Northeast
204,Affiliate / creator,True,2023-01-02,2023-01,3,South
205,Paid social,True,2023-01-02,2023-01,2,Northeast
206,Email / SMS,False,2023-01-02,2023-01,3,Midwest
207,Paid social,True,2023-01-02,2023-01,1,Northeast
208,Paid social,True,2023-01-02,2023-01,1,West
209,Affiliate / creator,True,2023-01-02,2023-01,4,South
210,Paid social,True,2023-01-02,2023-01,1,Northeast
211,Retargeting,True,2023-01-02,2023-01,3,Midwest
212,Paid social,True,2023-01-02,2023-01,1,South
213,Paid social,True,2023-01-02,2023-01,3,Midwest
214,Affiliate / creator,True,2023-01-02,2023-01,2,Northeast
215,Paid search,True,2023-01-02,2023-01,4,Midwest
216,Paid search,True,2023-01-02,2023-01,2,West
217,Email / SMS,False,2023-01-02,2023-01,2,Midwest
218,Paid search,True,2023-01-02,2023-01,2,West
219,Affiliate / creator,True,2023-01-02,2023-01,1,South
220,Referral,False,2023-01-02,2023-01,2,South
221,Paid social,True,2023-01-02,2023-01,1,Midwest
222,Paid social,True,2023-01-02,2023-01,1,Northeast
223,Paid search,True,2023-01-02,2023-01,1,Northeast
224,Paid search,True,2023-01-02,2023-01,2,West
225,Affiliate / creator,True,2023-01-02,2023-01,1,Midwest
226,Affiliate / creator,True,2023-01-02,2023-01,3,Midwest
227,Paid social,True,2023-01-02,2023-01,1,Midwest
228,Email / SMS,False,2023-01-02,2023-01,3,West
229,Paid social,True,2023-01-02,2023-01,4,West
230,Paid social,True,2023-01-02,2023-01,1,West
231,Paid social,True,2023-01-02,2023-01,2,West
232,Paid social,True,2023-01-03,2023-01,2,West
233,Paid social,True,2023-01-03,2023-01,3,South
234,Email / SMS,False,2023-01-03,2023-01,1,South
235,Paid social,True,2023-01-03,2023-01,5,West
236,Retargeting,True,2023-01-03,2023-01,1,Midwest
237,Paid search,True,2023-01-03,2023-01,4,West
238,Paid search,True,2023-01-03,2023-01,1,South
239,Referral,False,2023-01-03,2023-01,2,Northeast
240,Referral,False,2023-01-03,2023-01,4,West
241,Affiliate / creator,True,2023-01-03,2023-01,3,South
242,Paid social,True,2023-01-03,2023-01,4,West
243,Email / SMS,False,2023-01-03,2023-01,2,Northeast
244,Organic,False,2023-01-03,2023-01,2,Midwest
245,Retargeting,True,2023-01-03,2023-01,1,South
246,Affiliate / creator,True,2023-01-03,2023-01,5,Northeast
247,Paid social,True,2023-01-03,2023-01,2,Midwest
248,Paid social,True,2023-01-03,2023-01,5,Midwest
249,Organic,False,2023-01-03,2023-01,3,South
250,Organic,False,2023-01-03,2023-01,1,West
251,Paid social,True,2023-01-03,2023-01,1,West
252,Paid social,True,2023-01-03,2023-01,2,Northeast
253,Organic,False,2023-01-03,2023-01,3,Midwest
254,Paid social,True,2023-01-03,2023-01,1,South
255,Paid social,True,2023-01-03,2023-01,3,Midwest
256,Paid social,True,2023-01-03,2023-01,2,Northeast
257,Paid social,True,2023-01-03,2023-01,2,Midwest
258,Paid social,True,2023-01-03,2023-01,1,Midwest
259,Paid social,True,2023-01-03,2023-01,3,Midwest
260,Paid search,True,2023-01-03,2023-01,2,South
261,Paid social,True,2023-01-03,2023-01,1,Midwest
262,Paid search,True,2023-01-03,2023-01,2,South
263,Paid social,True,2023-01-03,2023-01,1,Midwest
264,Paid social,True,2023-01-03,2023-01,3,South
265,Affiliate / creator,True,2023-01-03,2023-01,1,Northeast
266,Paid search,True,2023-01-03,2023-01,2,Midwest
267,Organic,False,2023-01-03,2023-01,4,Northeast
268,Organic,False,2023-01-03,2023-01,3,Northeast
269,Paid search,True,2023-01-03,2023-01,3,Northeast
270,Organic,False,2023-01-03,2023-01,2,Northeast
271,Paid social,True,2023-01-03,2023-01,2,West
272,Paid social,True,2023-01-03,2023-01,3,Northeast
273,Retargeting,True,2023-01-03,2023-01,4,West
274,Paid search,True,2023-01-03,2023-01,2,Midwest
275,Organic,False,2023-01-03,2023-01,1,Midwest
276,Organic,False,2023-01-03,2023-01,1,South
277,Paid search,True,2023-01-03,2023-01,4,Northeast
278,Organic,False,2023-01-03,2023-01,1,Midwest
279,Paid social,True,2023-01-03,2023-01,1,South
280,Paid social,True,2023-01-03,2023-01,1,West
281,Paid social,True,2023-01-03,2023-01,2,Northeast
282,Paid social,True,2023-01-03,2023-01,4,South
283,Affiliate / creator,True,2023-01-03,2023-01,1,Midwest
284,Paid search,True,2023-01-03,2023-01,1,West
285,Paid search,True,2023-01-03,2023-01,4,Midwest
286,Paid social,True,2023-01-03,2023-01,2,South
287,Organic,False,2023-01-03,2023-01,3,Northeast
288,Paid social,True,2023-01-03,2023-01,1,West
289,Paid social,True,2023-01-03,2023-01,3,West
290,Paid social,True,2023-01-03,2023-01,2,Northeast
291,Paid social,True,2023-01-03,2023-01,3,Northeast
292,Paid social,True,2023-01-03,2023-01,2,West
293,Paid social,True,2023-01-03,2023-01,2,Northeast
294,Paid social,True,2023-01-03,2023-01,3,West
295,Referral,False,2023-01-03,2023-01,4,Northeast
296,Paid social,True,2023-01-03,2023-01,1,Northeast
297,Affiliate / creator,True,2023-01-03,2023-01,4,Northeast
298,Email / SMS,False,2023-01-03,2023-01,4,West
299,Retargeting,True,2023-01-03,2023-01,3,Northeast
300,Paid search,True,2023-01-03,2023-01,1,Midwest
301,Paid social,True,2023-01-03,2023-01,3,South
302,Paid social,True,2023-01-03,2023-01,3,West
303,Retargeting,True,2023-01-03,2023-01,1,Northeast
304,Paid social,True,2023-01-03,2023-01,4,Northeast
305,Organic,False,2023-01-03,2023-01,2,South
306,Paid social,True,2023-01-03,2023-01,3,West
307,Paid social,True,2023-01-03,2023-01,2,Midwest
308,Affiliate / creator,True,2023-01-03,2023-01,1,South
309,Organic,False,2023-01-03,2023-01,3,West
310,Paid search,True,2023-01-03,2023-01,1,South
311,Paid social,True,2023-01-03,2023-01,2,West
312,Paid social,True,2023-01-03,2023-01,4,Midwest
313,Paid social,True,2023-01-03,2023-01,2,Northeast
314,Referral,False,2023-01-03,2023-01,1,West
315,Paid social,True,2023-01-03,2023-01,3,Midwest
316,Affiliate / creator,True,2023-01-03,2023-01,1,Midwest
317,Paid social,True,2023-01-03,2023-01,1,South
318,Paid social,True,2023-01-03,2023-01,3,Midwest
319,Affiliate / creator,True,2023-01-03,2023-01,2,Midwest
320,Referral,False,2023-01-03,2023-01,2,South
321,Referral,False,2023-01-03,2023-01,1,West
322,Affiliate / creator,True,2023-01-03,2023-01,1,Northeast
323,Paid social,True,2023-01-03,2023-01,1,South
324,Paid search,True,2023-01-03,2023-01,1,West
325,Paid social,True,2023-01-03,2023-01,2,South
326,Paid social,True,2023-01-03,2023-01,3,West
327,Paid social,True,2023-01-03,2023-01,1,West
328,Referral,False,2023-01-03,2023-01,2,Midwest
329,Retargeting,True,2023-01-03,2023-01,2,Northeast
330,Retargeting,True,2023-01-03,2023-01,1,West
331,Paid search,True,2023-01-03,2023-01,3,South
332,Affiliate / creator,True,2023-01-03,2023-01,4,Midwest
333,Email / SMS,False,2023-01-03,2023-01,3,West
334,Paid social,True,2023-01-03,2023-01,2,Northeast
335,Organic,False,2023-01-04,2023-01,2,West
336,Retargeting,True,2023-01-04,2023-01,2,West
337,Paid search,True,2023-01-04,2023-01,2,West
338,Paid social,True,2023-01-04,2023-01,3,Midwest
339,Paid social,True,2023-01-04,2023-01,5,South
340,Email / SMS,False,2023-01-04,2023-01,1,West
341,Paid social,True,2023-01-04,2023-01,3,South
342,Paid search,True,2023-01-04,2023-01,1,Midwest
343,Paid social,True,2023-01-04,2023-01,2,South
344,Paid social,True,2023-01-04,2023-01,2,West
345,Email / SMS,False,2023-01-04,2023-01,3,South
346,Email / SMS,False,2023-01-04,2023-01,2,West
347,Paid social,True,2023-01-04,2023-01,3,Midwest
348,Referral,False,2023-01-04,2023-01,1,South
349,Email / SMS,False,2023-01-04,2023-01,3,West
350,Email / SMS,False,2023-01-04,2023-01,2,Northeast
351,Paid social,True,2023-01-04,2023-01,2,Northeast
352,Paid social,True,2023-01-04,2023-01,2,Midwest
353,Referral,False,2023-01-04,2023-01,2,Northeast
354,Retargeting,True,2023-01-04,2023-01,3,West
355,Retargeting,True,2023-01-04,2023-01,1,Midwest
356,Paid social,True,2023-01-04,2023-01,2,Midwest
357,Paid search,True,2023-01-04,2023-01,1,Midwest
358,Referral,False,2023-01-04,2023-01,2,West
359,Referral,False,2023-01-04,2023-01,4,Midwest
360,Paid social,True,2023-01-04,2023-01,2,West
361,Paid social,True,2023-01-04,2023-01,2,West
362,Paid social,True,2023-01-04,2023-01,2,South
363,Affiliate / creator,True,2023-01-04,2023-01,1,Northeast
364,Referral,False,2023-01-04,2023-01,2,South
365,Paid social,True,2023-01-04,2023-01,2,Northeast
366,Paid social,True,2023-01-04,2023-01,2,Midwest
367,Paid social,True,2023-01-04,2023-01,1,South
368,Paid social,True,2023-01-04,2023-01,1,West
369,Paid social,True,2023-01-04,2023-01,3,South
370,Retargeting,True,2023-01-04,2023-01,1,Midwest
371,Paid social,True,2023-01-04,2023-01,2,West
372,Paid social,True,2023-01-04,2023-01,2,South
373,Paid search,True,2023-01-04,2023-01,3,South
374,Paid social,True,2023-01-04,2023-01,1,Midwest
375,Referral,False,2023-01-04,2023-01,2,South
376,Affiliate / creator,True,2023-01-04,2023-01,3,West
377,Paid social,True,2023-01-04,2023-01,1,Midwest
378,Paid social,True,2023-01-04,2023-01,4,West
379,Paid search,True,2023-01-04,2023-01,2,Northeast
380,Retargeting,True,2023-01-04,2023-01,1,Northeast
381,Email / SMS,False,2023-01-04,2023-01,3,West
382,Referral,False,2023-01-04,2023-01,1,West
383,Paid social,True,2023-01-04,2023-01,1,Northeast
384,Paid social,True,2023-01-04,2023-01,4,West
385,Retargeting,True,2023-01-04,2023-01,2,Midwest
386,Paid social,True,2023-01-04,2023-01,2,Midwest
387,Paid social,True,2023-01-04,2023-01,3,South
388,Affiliate / creator,True,2023-01-04,2023-01,1,Northeast
389,Paid social,True,2023-01-04,2023-01,1,West
390,Paid social,True,2023-01-04,2023-01,2,West
391,Paid social,True,2023-01-04,2023-01,1,West
392,Referral,False,2023-01-04,2023-01,3,South
393,Paid search,True,2023-01-04,2023-01,1,Northeast
394,Organic,False,2023-01-04,2023-01,2,Midwest
395,Affiliate / creator,True,2023-01-04,2023-01,2,South
396,Paid social,True,2023-01-04,2023-01,5,Northeast
397,Paid search,True,2023-01-04,2023-01,1,West
398,Paid social,True,2023-01-04,2023-01,2,West
399,Retargeting,True,2023-01-04,2023-01,2,West
400,Email / SMS,False,2023-01-04,2023-01,2,West
401,Paid search,True,2023-01-04,2023-01,2,Northeast
402,Paid search,True,2023-01-04,2023-01,4,South
403,Organic,False,2023-01-04,2023-01,3,West
404,Organic,False,2023-01-04,2023-01,2,Midwest
405,Organic,False,2023-01-04,2023-01,1,South
406,Paid search,True,2023-01-04,2023-01,2,Midwest
407,Referral,False,2023-01-04,2023-01,4,South
408,Paid search,True,2023-01-04,2023-01,3,West
409,Paid social,True,2023-01-04,2023-01,1,Midwest
410,Paid social,True,2023-01-04,2023-01,2,South
411,Paid social,True,2023-01-04,2023-01,4,West
412,Paid social,True,2023-01-04,2023-01,4,West
413,Retargeting,True,2023-01-04,2023-01,1,Midwest
414,Email / SMS,False,2023-01-04,2023-01,1,Northeast
415,Email / SMS,False,2023-01-04,2023-01,2,West
416,Paid search,True,2023-01-04,2023-01,3,Northeast
417,Paid social,True,2023-01-04,2023-01,3,Northeast
418,Paid social,True,2023-01-04,2023-01,2,South
419,Paid social,True,2023-01-04,2023-01,2,Midwest
420,Retargeting,True,2023-01-04,2023-01,3,West
421,Affiliate / creator,True,2023-01-04,2023-01,1,Northeast
422,Paid social,True,2023-01-04,2023-01,5,West
423,Email / SMS,False,2023-01-04,2023-01,2,Northeast
424,Retargeting,True,2023-01-04,2023-01,3,West
425,Paid social,True,2023-01-04,2023-01,2,West
426,Paid social,True,2023-01-04,2023-01,2,Northeast
427,Paid social,True,2023-01-04,2023-01,3,West
428,Paid search,True,2023-01-04,2023-01,2,Northeast
429,Paid social,True,2023-01-04,2023-01,1,Northeast
430,Paid social,True,2023-01-04,2023-01,1,West
431,Paid social,True,2023-01-04,2023-01,2,Midwest
432,Paid social,True,2023-01-04,2023-01,3,South
433,Referral,False,2023-01-04,2023-01,2,Northeast
434,Paid social,True,2023-01-04,2023-01,1,Northeast
435,Paid social,True,2023-01-04,2023-01,2,South
436,Paid social,True,2023-01-05,2023-01,3,West
437,Paid search,True,2023-01-05,2023-01,1,South
438,Paid social,True,2023-01-05,2023-01,2,Midwest
439,Paid social,True,2023-01-05,2023-01,3,West
440,Retargeting,True,2023-01-05,2023-01,1,South
441,Paid social,True,2023-01-05,2023-01,3,Northeast
442,Paid social,True,2023-01-05,2023-01,1,South
443,Referral,False,2023-01-05,2023-01,1,Northeast
444,Organic,False,2023-01-05,2023-01,2,Northeast
445,Affiliate / creator,True,2023-01-05,2023-01,2,West
446,Paid search,True,2023-01-05,2023-01,2,South
447,Retargeting,True,2023-01-05,2023-01,3,Midwest
448,Paid social,True,2023-01-05,2023-01,2,South
449,Paid social,True,2023-01-05,2023-01,5,Northeast
450,Paid social,True,2023-01-05,2023-01,1,South
451,Referral,False,2023-01-05,2023-01,1,South
452,Affiliate / creator,True,2023-01-05,2023-01,4,Midwest
453,Paid social,True,2023-01-05,2023-01,2,South
454,Paid social,True,2023-01-05,2023-01,3,West
455,Affiliate / creator,True,2023-01-05,2023-01,3,South
456,Organic,False,2023-01-05,2023-01,3,Northeast
457,Referral,False,2023-01-05,2023-01,1,Midwest
458,Paid search,True,2023-01-05,2023-01,2,Midwest
459,Paid social,True,2023-01-05,2023-01,2,South
460,Referral,False,2023-01-05,2023-01,3,West
461,Paid search,True,2023-01-05,2023-01,2,South
462,Paid social,True,2023-01-05,2023-01,1,West
463,Paid social,True,2023-01-05,2023-01,2,South
464,Paid social,True,2023-01-05,2023-01,1,Northeast
465,Retargeting,True,2023-01-05,2023-01,3,Midwest
466,Paid social,True,2023-01-05,2023-01,2,Midwest
467,Paid search,True,2023-01-05,2023-01,2,West
468,Paid search,True,2023-01-05,2023-01,2,Northeast
469,Paid social,True,2023-01-05,2023-01,1,South
470,Paid social,True,2023-01-05,2023-01,1,Midwest
471,Paid search,True,2023-01-05,2023-01,3,South
472,Paid social,True,2023-01-05,2023-01,2,Northeast
473,Organic,False,2023-01-05,2023-01,3,South
474,Paid search,True,2023-01-05,2023-01,1,South
475,Email / SMS,False,2023-01-05,2023-01,2,West
476,Affiliate / creator,True,2023-01-05,2023-01,3,Northeast
477,Retargeting,True,2023-01-05,2023-01,3,West
478,Paid search,True,2023-01-05,2023-01,2,South
479,Paid social,True,2023-01-05,2023-01,4,Northeast
480,Paid social,True,2023-01-05,2023-01,2,West
481,Retargeting,True,2023-01-05,2023-01,2,South
482,Organic,False,2023-01-05,2023-01,2,South
483,Retargeting,True,2023-01-05,2023-01,6,Midwest
484,Email / SMS,False,2023-01-05,2023-01,2,Northeast
485,Paid social,True,2023-01-05,2023-01,3,Midwest
486,Paid search,True,2023-01-05,2023-01,1,Midwest
487,Paid search,True,2023-01-05,2023-01,1,South
488,Paid social,True,2023-01-05,2023-01,1,Midwest
489,Retargeting,True,2023-01-05,2023-01,1,Northeast
490,Organic,False,2023-01-05,2023-01,2,West
491,Email / SMS,False,2023-01-05,2023-01,3,Midwest
492,Paid search,True,2023-01-05,2023-01,3,Northeast
493,Paid search,True,2023-01-05,2023-01,1,Northeast
494,Organic,False,2023-01-05,2023-01,2,Midwest
495,Paid social,True,2023-01-05,2023-01,2,Midwest
496,Paid social,True,2023-01-05,2023-01,1,South
497,Paid search,True,2023-01-05,2023-01,1,Northeast
498,Affiliate / creator,True,2023-01-05,2023-01,3,Northeast
499,Paid social,True,2023-01-05,2023-01,1,West
500,Paid social,True,2023-01-05,2023-01,1,Midwest
501,Organic,False,2023-01-05,2023-01,2,South
502,Organic,False,2023-01-05,2023-01,4,South
503,Affiliate / creator,True,2023-01-05,2023-01,1,South
504,Affiliate / creator,True,2023-01-05,2023-01,4,Midwest
505,Paid social,True,2023-01-05,2023-01,1,Northeast
506,Affiliate / creator,True,2023-01-05,2023-01,2,Midwest
507,Retargeting,True,2023-01-05,2023-01,3,Midwest
508,Retargeting,True,2023-01-05,2023-01,2,South
509,Paid search,True,2023-01-05,2023-01,3,Northeast
510,Retargeting,True,2023-01-05,2023-01,1,South
511,Paid search,True,2023-01-05,2023-01,6,South
512,Retargeting,True,2023-01-05,2023-01,3,Midwest
513,Paid search,True,2023-01-05,2023-01,3,South
514,Organic,False,2023-01-05,2023-01,1,South
515,Paid social,True,2023-01-05,2023-01,4,West
516,Paid social,True,2023-01-05,2023-01,2,Northeast
517,Affiliate / creator,True,2023-01-05,2023-01,1,South
518,Paid social,True,2023-01-05,2023-01,2,Northeast
