product_key,sku_code,product_family,category,sku_class,is_hero,revenue_weight,msrp,cost_index,case_pack_units,moq,return_rate,lifecycle_state,launch_date,valid_from,valid_to
42,NL-SE-042,Seasonal,Seasonal,C,False,0.004563,66.03,1.220405,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
43,NL-FO-043,Food storage,Food storage,C,False,0.004414,39.17,0.975513,12,1500,0.084805,launch,2025-02-01,2023-01-01,2029-01-01
44,NL-DR-044,Drinkware,Drinkware,C,False,0.004272,52.44,1.110015,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
45,NL-AC-045,Accessories,Accessories,C,False,0.004138,19.92,0.431261,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
46,NL-SE-046,Seasonal,Seasonal,C,False,0.004011,62.02,1.230952,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
47,NL-FO-047,Food storage,Food storage,C,False,0.00389,38.44,1.036908,12,1500,0.084805,launch,2025-02-01,2023-01-01,2029-01-01
48,NL-DR-048,Drinkware,Drinkware,C,False,0.003775,51.64,1.099018,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
49,NL-AC-049,Accessories,Accessories,C,False,0.003665,13.66,0.445725,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
50,NL-SE-050,Seasonal,Seasonal,C,False,0.00356,65.17,1.167542,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
51,NL-FO-051,Food storage,Food storage,C,False,0.00346,33.98,1.019783,12,1500,0.084805,launch,2025-02-01,2023-01-01,2029-01-01
52,NL-DR-052,Drinkware,Drinkware,C,False,0.003365,56.37,1.028137,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
53,NL-AC-053,Accessories,Accessories,C,False,0.003274,17.06,0.440663,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
54,NL-SE-054,Seasonal,Seasonal,C,False,0.003186,45.14,1.190034,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
55,NL-FO-055,Food storage,Food storage,C,False,0.003103,45.93,1.03866,12,1500,0.084805,launch,2025-02-01,2023-01-01,2029-01-01
56,NL-DR-056,Drinkware,Drinkware,C,False,0.003023,50.8,1.030245,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
57,NL-AC-057,Accessories,Accessories,C,False,0.002946,15.85,0.46171,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
58,NL-SE-058,Seasonal,Seasonal,C,False,0.002873,46.12,1.175848,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
59,NL-FO-059,Food storage,Food storage,C,False,0.002802,32.34,1.019935,12,1500,0.084805,launch,2025-02-01,2023-01-01,2029-01-01
60,NL-DR-060,Drinkware,Drinkware,C,False,0.002734,53.68,1.075544,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
61,NL-AC-061,Accessories,Accessories,C,False,0.002669,14.06,0.468045,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
62,NL-FO-062,Food storage,Food storage,C,False,0.002606,38.33,1.022337,12,1000,0.084805,seasonal,2023-01-01,2023-01-01,2029-01-01
63,NL-DR-063,Drinkware,Drinkware,C,False,0.002546,52.79,1.119112,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
64,NL-SE-064,Seasonal,Seasonal,C,False,0.002488,47.0,1.257086,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
65,NL-FO-065,Food storage,Food storage,C,False,0.002432,45.34,1.048813,12,1000,0.084805,seasonal,2023-01-01,2023-01-01,2029-01-01
66,NL-DR-066,Drinkware,Drinkware,C,False,0.002378,54.94,1.117374,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
67,NL-SE-067,Seasonal,Seasonal,C,False,0.002326,61.06,1.255402,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
68,NL-FO-068,Food storage,Food storage,C,False,0.002276,35.08,0.976649,12,1000,0.084805,seasonal,2023-01-01,2023-01-01,2029-01-01
69,NL-DR-069,Drinkware,Drinkware,C,False,0.002227,41.17,1.029444,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
70,NL-SE-070,Seasonal,Seasonal,C,False,0.00218,60.94,1.236987,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
71,NL-FO-071,Food storage,Food storage,C,False,0.002135,31.96,1.061639,12,1000,0.084805,seasonal,2023-01-01,2023-01-01,2029-01-01
72,NL-DR-072,Drinkware,Drinkware,C,False,0.002091,49.92,1.15093,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
73,NL-SE-073,Seasonal,Seasonal,C,False,0.002049,42.65,1.260833,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
74,NL-FO-074,Food storage,Food storage,C,False,0.002008,31.44,0.96366,12,1000,0.084805,seasonal,2023-01-01,2023-01-01,2029-01-01
75,NL-SE-075,Seasonal,Seasonal,C,False,0.001968,64.53,1.266628,12,2000,0.10742,seasonal,2023-01-01,2023-01-01,2029-01-01
76,NL-DR-076,Drinkware,Drinkware,C,False,0.00193,49.7,1.137941,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
77,NL-DR-077,Drinkware,Drinkware,C,False,0.001893,40.9,1.092854,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
78,NL-DR-078,Drinkware,Drinkware,C,False,0.001857,50.19,1.063932,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
79,NL-DR-079,Drinkware,Drinkware,C,False,0.001822,49.47,1.063089,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
80,NL-DR-080,Drinkware,Drinkware,C,False,0.001788,50.12,1.064888,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
81,NL-DR-081,Drinkware,Drinkware,C,False,0.001755,54.93,1.12376,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
82,NL-DR-082,Drinkware,Drinkware,C,False,0.001724,39.85,1.116253,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
83,NL-DR-083,Drinkware,Drinkware,C,False,0.001693,50.81,1.15124,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
84,NL-DR-084,Drinkware,Drinkware,C,False,0.001663,57.79,1.109548,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
85,NL-DR-085,Drinkware,Drinkware,C,False,0.001634,46.14,1.093834,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
