date,product_key,suppressed_units,demand_units,lost_units,deferred_units
2023-02-09,3,32.0,32.0,16.0,16.0
2023-02-09,4,21.0,24.0,10.5,10.5
2023-02-09,5,5.0,5.0,2.5,2.5
2023-02-09,6,18.0,19.0,9.0,9.0
2023-02-09,9,16.0,16.0,8.0,8.0
2023-02-09,10,12.0,12.0,6.0,6.0
2023-02-09,11,4.0,6.0,2.0,2.0
2023-02-09,12,2.0,4.0,1.0,1.0
2023-02-09,13,9.892857,21.0,4.946429,4.946429
2023-02-09,14,2.535714,7.0,1.267857,1.267857
2023-02-09,15,19.0,20.0,9.5,9.5
2023-02-09,17,2.0,2.0,1.0,1.0
2023-02-09,19,5.0,5.0,2.5,2.5
2023-02-09,20,3.0,3.0,1.5,1.5
2023-02-09,21,29.0,29.0,14.5,14.5
2023-02-09,23,1.0,2.0,0.5,0.5
2023-02-09,24,5.017857,7.0,2.508929,2.508929
2023-02-09,26,2.0,2.0,1.0,1.0
2023-02-09,27,13.0,13.0,6.5,6.5
2023-02-09,28,2.0,2.0,1.0,1.0
2023-02-09,29,3.0,3.0,1.5,1.5
2023-02-09,31,2.0,4.0,1.0,1.0
2023-02-09,32,6.0,6.0,3.0,3.0
2023-02-09,33,3.0,3.0,1.5,1.5
2023-02-09,34,3.0,3.0,1.5,1.5
2023-02-09,35,1.410714,5.0,0.705357,0.705357
2023-02-10,1,31.0,32.0,15.5,15.5
2023-02-10,2,18.0,20.0,9.0,9.0
2023-02-10,3,20.0,21.0,10.0,10.0
2023-02-10,4,13.0,15.0,6.5,6.5
2023-02-10,5,18.0,18.0,9.0,9.0
2023-02-10,6,11.0,14.0,5.5,5.5
2023-02-10,7,4.607143,12.0,2.303571,2.303571
2023-02-10,9,9.0,9.0,4.5,4.5
2023-02-10,10,7.0,7.0,3.5,3.5
2023-02-10,11,6.0,6.0,3.0,3.0
2023-02-10,12,5.0,7.0,2.5,2.5
2023-02-10,13,14.0,14.0,7.0,7.0
2023-02-10,14,5.0,6.0,2.5,2.5
2023-02-10,15,10.0,10.0,5.0,5.0
2023-02-10,16,4.0,4.0,2.0,2.0
2023-02-10,17,7.0,7.0,3.5,3.5
2023-02-10,19,1.0,1.0,0.5,0.5
2023-02-10,20,4.0,4.0,2.0,2.0
2023-02-10,21,21.0,21.0,10.5,10.5
2023-02-10,23,2.0,2.0,1.0,1.0
2023-02-10,24,1.0,4.0,0.5,0.5
2023-02-10,25,4.0,4.0,2.0,2.0
2023-02-10,26,3.0,3.0,1.5,1.5
2023-02-10,27,4.0,4.0,2.0,2.0
2023-02-10,28,1.0,1.0,0.5,0.5
2023-02-10,31,3.0,3.0,1.5,1.5
2023-02-10,32,13.0,13.0,6.5,6.5
2023-02-10,33,3.0,3.0,1.5,1.5
2023-02-10,34,2.0,2.0,1.0,1.0
2023-02-11,1,22.0,23.0,11.0,11.0
2023-02-11,2,25.0,27.0,12.5,12.5
2023-02-11,3,12.0,13.0,6.0,6.0
2023-02-11,4,19.0,19.0,9.5,9.5
2023-02-11,5,6.0,6.0,3.0,3.0
2023-02-11,6,14.0,14.0,7.0,7.0
2023-02-11,7,8.0,8.0,4.0,4.0
2023-02-11,9,9.0,9.0,4.5,4.5
2023-02-11,10,9.0,11.0,4.5,4.5
2023-02-11,11,10.0,11.0,5.0,5.0
2023-02-11,12,1.0,2.0,0.5,0.5
2023-02-11,13,3.0,3.0,1.5,1.5
2023-02-11,14,1.0,1.0,0.5,0.5
2023-02-11,15,16.0,16.0,8.0,8.0
2023-02-11,16,4.0,4.0,2.0,2.0
2023-02-11,17,2.0,2.0,1.0,1.0
2023-02-11,19,5.0,6.0,2.5,2.5
2023-02-11,20,2.0,2.0,1.0,1.0
2023-02-11,21,5.0,5.0,2.5,2.5
2023-02-11,23,4.0,4.0,2.0,2.0
2023-02-11,24,4.0,4.0,2.0,2.0
2023-02-11,25,1.0,1.0,0.5,0.5
2023-02-11,26,5.0,5.0,2.5,2.5
2023-02-11,27,3.0,3.0,1.5,1.5
2023-02-11,28,3.0,3.0,1.5,1.5
2023-02-11,29,3.0,4.0,1.5,1.5
2023-02-11,30,8.232143,9.0,4.116071,4.116071
2023-02-11,31,2.0,2.0,1.0,1.0
2023-02-11,32,3.0,3.0,1.5,1.5
2023-02-11,33,5.0,5.0,2.5,2.5
2023-02-11,34,1.0,1.0,0.5,0.5
2023-02-11,35,1.0,2.0,0.5,0.5
2023-02-12,1,34.0,34.0,17.0,17.0
2023-02-12,2,22.0,22.0,11.0,11.0
2023-02-12,3,14.0,15.0,7.0,7.0
2023-02-12,4,18.0,19.0,9.0,9.0
2023-02-12,5,7.0,8.0,3.5,3.5
2023-02-12,6,11.0,13.0,5.5,5.5
2023-02-12,7,7.0,7.0,3.5,3.5
2023-02-12,9,13.0,13.0,6.5,6.5
2023-02-12,10,12.0,13.0,6.0,6.0
2023-02-12,11,7.0,7.0,3.5,3.5
2023-02-12,12,9.0,9.0,4.5,4.5
2023-02-12,13,3.0,4.0,1.5,1.5
2023-02-12,14,7.0,7.0,3.5,3.5
2023-02-12,15,7.0,7.0,3.5,3.5
2023-02-12,16,7.0,7.0,3.5,3.5
2023-02-12,17,5.0,5.0,2.5,2.5
2023-02-12,18,3.017857,8.0,1.508929,1.508929
2023-02-12,19,3.0,3.0,1.5,1.5
2023-02-12,20,1.0,1.0,0.5,0.5
2023-02-12,21,8.0,9.0,4.0,4.0
2023-02-12,22,5.535714,11.0,2.767857,2.767857
2023-02-12,23,6.0,6.0,3.0,3.0
2023-02-12,24,6.0,6.0,3.0,3.0
2023-02-12,25,6.0,6.0,3.0,3.0
2023-02-12,26,2.0,2.0,1.0,1.0
2023-02-12,27,6.0,6.0,3.0,3.0
2023-02-12,28,2.0,2.0,1.0,1.0
2023-02-12,29,2.0,2.0,1.0,1.0
2023-02-12,30,7.0,7.0,3.5,3.5
2023-02-12,31,2.0,2.0,1.0,1.0
2023-02-12,32,3.0,3.0,1.5,1.5
2023-02-12,33,5.0,5.0,2.5,2.5
2023-02-12,35,4.0,4.0,2.0,2.0
2023-02-13,1,39.0,40.0,19.5,19.5
2023-02-13,2,25.0,26.0,12.5,12.5
2023-02-13,3,25.0,26.0,12.5,12.5
2023-02-13,4,34.0,34.0,17.0,17.0
2023-02-13,5,8.0,8.0,4.0,4.0
2023-02-13,6,41.0,41.0,20.5,20.5
2023-02-13,7,9.0,9.0,4.5,4.5
2023-02-13,9,8.0,9.0,4.0,4.0
2023-02-13,10,11.0,11.0,5.5,5.5
2023-02-13,11,9.0,9.0,4.5,4.5
2023-02-13,12,10.0,10.0,5.0,5.0
2023-02-13,13,10.0,10.0,5.0,5.0
2023-02-13,14,2.0,3.0,1.0,1.0
2023-02-13,15,39.0,39.0,19.5,19.5
2023-02-13,16,5.0,5.0,2.5,2.5
2023-02-13,17,6.0,6.0,3.0,3.0
2023-02-13,18,25.0,25.0,12.5,12.5
2023-02-13,19,2.0,3.0,1.0,1.0
2023-02-13,20,16.0,16.0,8.0,8.0
2023-02-13,21,13.0,13.0,6.5,6.5
2023-02-13,22,4.0,4.0,2.0,2.0
2023-02-13,23,4.0,4.0,2.0,2.0
2023-02-13,24,14.0,14.0,7.0,7.0
2023-02-13,25,1.0,1.0,0.5,0.5
2023-02-13,26,5.0,5.0,2.5,2.5
2023-02-13,27,12.0,12.0,6.0,6.0
2023-02-13,28,4.0,4.0,2.0,2.0
2023-02-13,30,34.0,34.0,17.0,17.0
2023-02-13,31,2.0,2.0,1.0,1.0
2023-02-13,32,5.0,5.0,2.5,2.5
2023-02-13,33,2.0,2.0,1.0,1.0
2023-02-13,35,3.0,3.0,1.5,1.5
2023-02-14,1,35.0,37.0,17.5,17.5
2023-02-14,2,26.0,27.0,13.0,13.0
2023-02-14,3,15.0,15.0,7.5,7.5
2023-02-14,4,30.0,31.0,15.0,15.0
2023-02-14,5,11.0,11.0,5.5,5.5
2023-02-14,6,18.0,19.0,9.0,9.0
2023-02-14,7,14.0,14.0,7.0,7.0
2023-02-14,9,4.0,6.0,2.0,2.0
2023-02-14,10,4.0,5.0,2.0,2.0
2023-02-14,11,2.0,5.0,1.0,1.0
2023-02-14,12,6.0,7.0,3.0,3.0
2023-02-14,13,6.0,6.0,3.0,3.0
2023-02-14,14,2.0,2.0,1.0,1.0
2023-02-14,15,10.0,10.0,5.0,5.0
2023-02-14,16,10.0,10.0,5.0,5.0
2023-02-14,17,1.0,1.0,0.5,0.5
2023-02-14,18,11.0,11.0,5.5,5.5
2023-02-14,19,7.0,7.0,3.5,3.5
2023-02-14,20,4.0,4.0,2.0,2.0
2023-02-14,21,10.0,10.0,5.0,5.0
2023-02-14,22,4.0,4.0,2.0,2.0
2023-02-14,23,3.0,3.0,1.5,1.5
2023-02-14,24,7.0,7.0,3.5,3.5
2023-02-14,25,1.0,1.0,0.5,0.5
2023-02-14,26,5.0,5.0,2.5,2.5
2023-02-14,27,6.0,6.0,3.0,3.0
2023-02-14,28,1.0,1.0,0.5,0.5
2023-02-14,29,1.0,2.0,0.5,0.5
2023-02-14,30,7.0,7.0,3.5,3.5
2023-02-14,31,4.0,4.0,2.0,2.0
2023-02-14,32,1.0,1.0,0.5,0.5
2023-02-14,33,5.0,5.0,2.5,2.5
2023-02-14,34,3.0,4.0,1.5,1.5
2023-02-14,35,4.0,4.0,2.0,2.0
2023-02-15,1,21.0,25.0,10.5,10.5
2023-02-15,2,29.0,30.0,14.5,14.5
2023-02-15,3,19.0,19.0,9.5,9.5
2023-02-15,4,15.0,15.0,7.5,7.5
2023-02-15,5,7.0,7.0,3.5,3.5
2023-02-15,6,14.0,14.0,7.0,7.0
2023-02-15,7,8.0,8.0,4.0,4.0
2023-02-15,9,14.0,14.0,7.0,7.0
2023-02-15,10,7.0,9.0,3.5,3.5
2023-02-15,11,13.0,13.0,6.5,6.5
2023-02-15,12,7.0,8.0,3.5,3.5
2023-02-15,13,11.0,11.0,5.5,5.5
2023-02-15,14,2.0,2.0,1.0,1.0
2023-02-15,15,10.0,10.0,5.0,5.0
2023-02-15,16,9.0,9.0,4.5,4.5
2023-02-15,17,1.0,1.0,0.5,0.5
2023-02-15,18,8.0,9.0,4.0,4.0
2023-02-15,19,4.0,6.0,2.0,2.0
2023-02-15,20,3.0,3.0,1.5,1.5
2023-02-15,21,8.0,9.0,4.0,4.0
2023-02-15,22,8.0,8.0,4.0,4.0
2023-02-15,23,1.0,1.0,0.5,0.5
2023-02-15,24,8.0,8.0,4.0,4.0
2023-02-15,26,5.0,6.0,2.5,2.5
2023-02-15,27,10.0,11.0,5.0,5.0
2023-02-15,28,2.0,3.0,1.0,1.0
2023-02-15,29,3.0,3.0,1.5,1.5
2023-02-15,30,9.0,9.0,4.5,4.5
2023-02-15,31,1.0,1.0,0.5,0.5
2023-02-15,35,3.0,3.0,1.5,1.5
2023-02-16,1,28.0,30.0,14.0,14.0
2023-02-16,2,24.0,25.0,12.0,12.0
2023-02-16,3,19.0,19.0,9.5,9.5
2023-02-16,4,15.0,16.0,7.5,7.5
2023-02-16,5,10.0,11.0,5.0,5.0
2023-02-16,6,15.0,16.0,7.5,7.5
2023-02-16,7,11.0,11.0,5.5,5.5
2023-02-16,8,6.660714,9.0,3.330357,3.330357
2023-02-16,9,3.0,3.0,1.5,1.5
2023-02-16,10,4.0,4.0,2.0,2.0
2023-02-16,11,7.0,7.0,3.5,3.5
2023-02-16,12,6.0,8.0,3.0,3.0
2023-02-16,13,12.0,12.0,6.0,6.0
2023-02-16,14,7.0,7.0,3.5,3.5
2023-02-16,15,10.0,10.0,5.0,5.0
2023-02-16,16,2.0,2.0,1.0,1.0
2023-02-16,17,6.0,6.0,3.0,3.0
2023-02-16,18,7.0,7.0,3.5,3.5
2023-02-16,19,1.0,2.0,0.5,0.5
2023-02-16,20,4.0,4.0,2.0,2.0
2023-02-16,21,11.0,12.0,5.5,5.5
2023-02-16,22,5.0,6.0,2.5,2.5
2023-02-16,23,3.0,3.0,1.5,1.5
2023-02-16,24,9.0,9.0,4.5,4.5
2023-02-16,25,10.0,10.0,5.0,5.0
2023-02-16,26,2.0,2.0,1.0,1.0
2023-02-16,27,1.0,3.0,0.5,0.5
2023-02-16,28,2.0,3.0,1.0,1.0
2023-02-16,29,2.0,2.0,1.0,1.0
2023-02-16,30,8.0,8.0,4.0,4.0
2023-02-16,32,4.0,4.0,2.0,2.0
2023-02-16,33,3.0,4.0,1.5,1.5
2023-02-16,34,1.0,1.0,0.5,0.5
2023-02-16,35,2.0,2.0,1.0,1.0
2023-02-17,1,23.0,23.0,11.5,11.5
2023-02-17,2,17.0,18.0,8.5,8.5
2023-02-17,3,24.0,24.0,12.0,12.0
2023-02-17,4,13.0,14.0,6.5,6.5
2023-02-17,6,11.0,12.0,5.5,5.5
2023-02-17,7,14.0,14.0,7.0,7.0
2023-02-17,8,9.0,9.0,4.5,4.5
2023-02-17,9,6.0,6.0,3.0,3.0
2023-02-17,10,5.0,7.0,2.5,2.5
2023-02-17,11,6.0,6.0,3.0,3.0
2023-02-17,12,7.0,9.0,3.5,3.5
2023-02-17,13,3.0,5.0,1.5,1.5
2023-02-17,14,7.0,8.0,3.5,3.5
2023-02-17,15,12.0,12.0,6.0,6.0
2023-02-17,16,4.0,4.0,2.0,2.0
2023-02-17,17,2.0,2.0,1.0,1.0
2023-02-17,18,12.0,12.0,6.0,6.0
2023-02-17,19,2.0,2.0,1.0,1.0
2023-02-17,20,7.0,7.0,3.5,3.5
2023-02-17,21,8.0,8.0,4.0,4.0
2023-02-17,22,3.0,3.0,1.5,1.5
2023-02-17,23,2.0,2.0,1.0,1.0
2023-02-17,24,8.0,8.0,4.0,4.0
2023-02-17,25,4.0,4.0,2.0,2.0
2023-02-17,26,3.0,3.0,1.5,1.5
2023-02-17,27,12.0,13.0,6.0,6.0
2023-02-17,29,1.0,1.0,0.5,0.5
2023-02-17,30,11.0,11.0,5.5,5.5
2023-02-17,31,2.0,2.0,1.0,1.0
2023-02-17,32,7.0,7.0,3.5,3.5
2023-02-17,33,2.0,2.0,1.0,1.0
2023-02-17,34,1.0,1.0,0.5,0.5
2023-02-17,35,1.0,1.0,0.5,0.5
2023-02-18,1,31.0,31.0,15.5,15.5
2023-02-18,2,11.0,15.0,5.5,5.5
2023-02-18,3,16.0,17.0,8.0,8.0
2023-02-18,4,14.0,16.0,7.0,7.0
2023-02-18,5,12.0,12.0,6.0,6.0
2023-02-18,6,11.0,14.0,5.5,5.5
2023-02-18,7,18.0,18.0,9.0,9.0
2023-02-18,8,7.0,7.0,3.5,3.5
2023-02-18,9,5.0,7.0,2.5,2.5
2023-02-18,10,7.0,9.0,3.5,3.5
2023-02-18,11,11.0,11.0,5.5,5.5
2023-02-18,12,7.0,7.0,3.5,3.5
2023-02-18,13,3.0,3.0,1.5,1.5
2023-02-18,14,7.0,7.0,3.5,3.5
2023-02-18,15,11.0,11.0,5.5,5.5
2023-02-18,18,7.0,8.0,3.5,3.5
2023-02-18,19,3.0,3.0,1.5,1.5
2023-02-18,20,4.0,4.0,2.0,2.0
2023-02-18,21,15.0,15.0,7.5,7.5
2023-02-18,22,3.0,3.0,1.5,1.5
2023-02-18,23,1.0,2.0,0.5,0.5
2023-02-18,24,9.0,9.0,4.5,4.5
2023-02-18,25,1.0,1.0,0.5,0.5
2023-02-18,27,4.0,4.0,2.0,2.0
2023-02-18,28,2.0,2.0,1.0,1.0
2023-02-18,30,3.0,5.0,1.5,1.5
2023-02-18,31,5.0,5.0,2.5,2.5
2023-02-18,32,1.0,1.0,0.5,0.5
2023-02-18,33,6.0,6.0,3.0,3.0
2023-02-18,34,1.0,1.0,0.5,0.5
2023-02-18,35,2.0,2.0,1.0,1.0
2023-02-19,1,84.0,84.0,42.0,42.0
2023-02-19,2,42.0,42.0,21.0,21.0
2023-02-19,3,74.0,77.0,37.0,37.0
2023-02-19,4,24.0,25.0,12.0,12.0
2023-02-19,5,24.0,24.0,12.0,12.0
2023-02-19,6,27.0,28.0,13.5,13.5
2023-02-19,7,40.0,40.0,20.0,20.0
2023-02-19,8,18.0,18.0,9.0,9.0
2023-02-19,9,7.0,7.0,3.5,3.5
2023-02-19,10,21.0,21.0,10.5,10.5
2023-02-19,11,29.0,29.0,14.5,14.5
2023-02-19,12,12.0,13.0,6.0,6.0
2023-02-19,13,5.0,5.0,2.5,2.5
2023-02-19,14,21.0,21.0,10.5,10.5
2023-02-19,15,41.0,41.0,20.5,20.5
2023-02-19,16,7.0,7.0,3.5,3.5
2023-02-19,17,3.0,3.0,1.5,1.5
2023-02-19,18,27.0,27.0,13.5,13.5
2023-02-19,19,8.0,8.0,4.0,4.0
2023-02-19,20,5.0,5.0,2.5,2.5
2023-02-19,21,37.0,37.0,18.5,18.5
2023-02-19,22,20.0,20.0,10.0,10.0
2023-02-19,23,9.0,9.0,4.5,4.5
2023-02-19,24,31.0,31.0,15.5,15.5
2023-02-19,25,16.0,16.0,8.0,8.0
2023-02-19,26,3.0,3.0,1.5,1.5
2023-02-19,27,49.0,49.0,24.5,24.5
2023-02-19,28,3.0,3.0,1.5,1.5
2023-02-19,29,4.0,4.0,2.0,2.0
2023-02-19,30,45.0,45.0,22.5,22.5
2023-02-19,31,4.0,4.0,2.0,2.0
2023-02-19,32,2.0,2.0,1.0,1.0
2023-02-19,33,32.0,32.0,16.0,16.0
2023-02-19,34,1.0,1.0,0.5,0.5
2023-02-19,35,2.0,2.0,1.0,1.0
2023-02-20,1,16.0,17.0,8.0,8.0
2023-02-20,2,24.0,24.0,12.0,12.0
2023-02-20,3,24.0,25.0,12.0,12.0
2023-02-20,4,93.0,96.0,46.5,46.5
2023-02-20,5,28.0,28.0,14.0,14.0
2023-02-20,6,21.0,22.0,10.5,10.5
2023-02-20,7,14.0,16.0,7.0,7.0
2023-02-20,8,82.0,83.0,41.0,41.0
2023-02-20,9,3.0,4.0,1.5,1.5
2023-02-20,10,8.0,8.0,4.0,4.0
2023-02-20,11,11.0,11.0,5.5,5.5
2023-02-20,12,7.0,8.0,3.5,3.5
2023-02-20,13,26.0,26.0,13.0,13.0
2023-02-20,14,5.0,5.0,2.5,2.5
2023-02-20,15,8.0,9.0,4.0,4.0
2023-02-20,16,2.0,2.0,1.0,1.0
2023-02-20,18,10.0,10.0,5.0,5.0
2023-02-20,19,5.0,6.0,2.5,2.5
2023-02-20,20,1.0,1.0,0.5,0.5
2023-02-20,21,12.0,13.0,6.0,6.0
2023-02-20,22,5.0,5.0,2.5,2.5
2023-02-20,23,56.0,56.0,28.0,28.0
2023-02-20,24,20.0,20.0,10.0,10.0
2023-02-20,25,4.0,4.0,2.0,2.0
2023-02-20,26,3.0,3.0,1.5,1.5
2023-02-20,27,6.0,6.0,3.0,3.0
2023-02-20,29,4.0,4.0,2.0,2.0
2023-02-20,30,4.0,4.0,2.0,2.0
2023-02-20,32,3.0,3.0,1.5,1.5
2023-02-20,33,4.0,4.0,2.0,2.0
2023-02-20,34,2.0,2.0,1.0,1.0
2023-02-20,35,3.0,3.0,1.5,1.5
2023-02-21,1,28.0,28.0,14.0,14.0
2023-02-21,2,30.0,34.0,15.0,15.0
2023-02-21,3,22.0,24.0,11.0,11.0
2023-02-21,4,26.0,26.0,13.0,13.0
2023-02-21,5,12.0,12.0,6.0,6.0
2023-02-21,6,34.0,34.0,17.0,17.0
2023-02-21,7,11.0,13.0,5.5,5.5
2023-02-21,8,21.0,21.0,10.5,10.5
2023-02-21,9,8.0,8.0,4.0,4.0
2023-02-21,10,10.0,12.0,5.0,5.0
2023-02-21,11,8.0,9.0,4.0,4.0
2023-02-21,12,9.0,10.0,4.5,4.5
2023-02-21,13,15.0,15.0,7.5,7.5
2023-02-21,14,16.0,16.0,8.0,8.0
2023-02-21,15,11.0,11.0,5.5,5.5
2023-02-21,16,10.0,10.0,5.0,5.0
2023-02-21,17,4.0,4.0,2.0,2.0
2023-02-21,18,12.0,12.0,6.0,6.0
2023-02-21,19,2.0,3.0,1.0,1.0
2023-02-21,20,15.0,15.0,7.5,7.5
2023-02-21,21,20.0,20.0,10.0,10.0
2023-02-21,22,3.0,3.0,1.5,1.5
2023-02-21,23,3.0,3.0,1.5,1.5
2023-02-21,24,5.0,6.0,2.5,2.5
2023-02-21,25,2.0,2.0,1.0,1.0
2023-02-21,26,3.0,4.0,1.5,1.5
2023-02-21,27,6.0,6.0,3.0,3.0
2023-02-21,28,3.0,3.0,1.5,1.5
2023-02-21,29,4.0,4.0,2.0,2.0
2023-02-21,30,6.0,7.0,3.0,3.0
2023-02-21,31,7.0,7.0,3.5,3.5
2023-02-21,32,4.0,4.0,2.0,2.0
2023-02-21,33,1.0,1.0,0.5,0.5
2023-02-21,34,3.0,3.0,1.5,1.5
2023-02-22,1,43.0,43.0,21.5,21.5
2023-02-22,2,22.0,23.0,11.0,11.0
2023-02-22,3,27.0,30.0,13.5,13.5
2023-02-22,4,23.0,24.0,11.5,11.5
2023-02-22,5,21.0,21.0,10.5,10.5
2023-02-22,6,8.0,8.0,4.0,4.0
2023-02-22,7,8.0,8.0,4.0,4.0
2023-02-22,8,12.0,13.0,6.0,6.0
2023-02-22,9,19.0,19.0,9.5,9.5
2023-02-22,10,17.0,18.0,8.5,8.5
2023-02-22,11,3.0,3.0,1.5,1.5
2023-02-22,12,3.0,4.0,1.5,1.5
2023-02-22,13,5.0,5.0,2.5,2.5
2023-02-22,14,4.0,4.0,2.0,2.0
2023-02-22,15,6.0,9.0,3.0,3.0
2023-02-22,16,1.0,2.0,0.5,0.5
2023-02-22,17,4.0,4.0,2.0,2.0
2023-02-22,19,8.0,8.0,4.0,4.0
2023-02-22,20,6.0,6.0,3.0,3.0
2023-02-22,21,11.0,13.0,5.5,5.5
2023-02-22,22,3.0,4.0,1.5,1.5
2023-02-22,24,24.0,24.0,12.0,12.0
2023-02-22,25,15.0,15.0,7.5,7.5
2023-02-22,26,3.0,3.0,1.5,1.5
2023-02-22,27,4.0,5.0,2.0,2.0
2023-02-22,28,2.0,2.0,1.0,1.0
2023-02-22,29,5.0,5.0,2.5,2.5
2023-02-22,30,9.0,11.0,4.5,4.5
2023-02-22,33,6.0,6.0,3.0,3.0
2023-02-22,34,2.0,2.0,1.0,1.0
2023-02-22,35,3.0,3.0,1.5,1.5
2023-02-23,1,31.0,33.0,15.5,15.5
2023-02-23,2,24.0,24.0,12.0,12.0
2023-02-23,3,16.0,19.0,8.0,8.0
2023-02-23,4,34.0,36.0,17.0,17.0
2023-02-23,5,18.0,19.0,9.0,9.0
2023-02-23,6,45.0,46.0,22.5,22.5
2023-02-23,7,28.0,28.0,14.0,14.0
2023-02-23,8,24.0,24.0,12.0,12.0
2023-02-23,9,13.0,13.0,6.5,6.5
2023-02-23,10,26.0,27.0,13.0,13.0
2023-02-23,11,16.0,16.0,8.0,8.0
2023-02-23,12,7.0,8.0,3.5,3.5
2023-02-23,13,13.0,13.0,6.5,6.5
2023-02-23,14,21.0,21.0,10.5,10.5
2023-02-23,15,11.0,12.0,5.5,5.5
2023-02-23,16,1.0,1.0,0.5,0.5
2023-02-23,17,25.0,26.0,12.5,12.5
2023-02-23,18,32.0,32.0,16.0,16.0
2023-02-23,19,3.0,3.0,1.5,1.5
2023-02-23,20,5.0,5.0,2.5,2.5
2023-02-23,21,22.0,22.0,11.0,11.0
2023-02-23,22,16.0,16.0,8.0,8.0
2023-02-23,23,6.0,7.0,3.0,3.0
2023-02-23,24,16.0,16.0,8.0,8.0
2023-02-23,26,4.0,4.0,2.0,2.0
2023-02-23,27,14.0,14.0,7.0,7.0
2023-02-23,28,3.0,3.0,1.5,1.5
2023-02-23,29,3.0,3.0,1.5,1.5
2023-02-23,30,27.0,27.0,13.5,13.5
2023-02-23,31,1.0,1.0,0.5,0.5
2023-02-23,32,11.0,11.0,5.5,5.5
2023-02-23,33,10.0,10.0,5.0,5.0
2023-02-23,34,1.0,1.0,0.5,0.5
2023-02-23,35,5.0,5.0,2.5,2.5
2023-02-24,1,33.0,34.0,16.5,16.5
2023-02-24,2,21.0,21.0,10.5,10.5
2023-02-24,3,17.0,17.0,8.5,8.5
2023-02-24,4,12.0,16.0,6.0,6.0
